Title,Year,PreNomination,PostNomination,PostAwards,Total,Win
Il Postino,1995,"$10,700,000","$5,700,000","$5,400,000","$21,800,000",0
Titanic,1997,"$338,700,000","$156,900,000","$105,200,000","$600,800,000",1
The Right Stuff,1983,"$15,700,000","$5,500,000",$0,"$21,200,000",0
American Beauty,1999,"$74,700,000","$33,800,000","$21,600,000","$130,100,000",1
The Accidental Tourist,1988,"$24,200,000","$8,400,000",$0,"$32,600,000",0
An Education,2009,"$8,800,000","$3,200,000","$533,000","$12,600,000",0
Mystic River,2003,"$59,100,000","$23,100,000","$7,900,000","$90,100,000",0
Born on the Fourth of July,1989,"$48,700,000","$16,900,000","$4,400,000","$70,000,000",0
A Beautiful Mind,2001,"$113,700,000","$41,000,000","$16,000,000","$170,700,000",1
Milk,2008,"$20,700,000","$7,500,000","$3,700,000","$31,800,000",0
The Verdict,1982,"$39,700,000","$12,200,000","$2,100,000","$54,000,000",0
As Good as It Gets,1997,"$92,600,000","$33,400,000","$22,500,000","$148,500,000",0
The Theory of Everything,2014,"$26,200,000","$7,900,000","$1,800,000","$35,900,000",0
Broadcast News,1987,"$36,700,000","$11,300,000","$3,300,000","$51,200,000",0
Elizabeth ,1998,"$21,400,000","$6,500,000","$2,200,000","$30,100,000",0
The Piano,1993,"$25,700,000","$8,500,000","$5,200,000","$40,200,000",0
Awakenings,1990,"$36,800,000","$11,000,000","$4,300,000","$52,100,000",0
No Country for Old Men,2007,"$48,900,000","$15,400,000","$10,000,000","$74,300,000",1
Lost in Translation,2003,"$34,800,000","$9,000,000","$714,000","$44,600,000",0
Terms of Endearment,1983,"$72,900,000","$21,800,000","$13,700,000","$108,400,000",1
12 Years a Slave,2013,"$39,000,000","$11,300,000","$6,300,000","$56,700,000",1
"Good Night, and Good Luck.",2005,"$25,200,000","$6,000,000","$384,000","$31,600,000",0
Michael Clayton,2007,"$39,400,000","$9,100,000","$516,000","$49,000,000",0
Out of Africa,1985,"$55,600,000","$16,200,000","$15,300,000","$87,100,000",1
The Fighter,2010,"$73,000,000","$17,400,000","$3,200,000","$93,600,000",0
Black Swan,2010,"$83,700,000","$19,800,000","$3,400,000","$107,000,000",0
Lincoln,2012,"$145,500,000","$33,100,000","$3,600,000","$182,200,000",0
Hugo,2011,"$56,000,000","$13,400,000","$4,500,000","$73,900,000",0
Bugsy,1991,"$38,900,000","$8,900,000","$1,300,000","$49,100,000",0
