Title,PreNomination,PostNomination,PostAwards,Total,PostGreaterThanPre,Released,Year,Win,imdbVotes,imdbRating,Rated,Runtime,Metascore
The Hurt Locker,12700000,2000000,2300000,17000000,1,31 Jul 2009,2008,1,305865,7.6,R,131,94
Captain Phillips,105100000,2000000,0,107100000,1,11 Oct 2013,2013,0,298666,7.9,PG-13,134,83
Kiss of the Spider Woman,13100000,2000000,1900000,17000000,1,26 Jul 1985,1985,0,10173,7.4,R,120,80
Working Girl,42100000,20000000,1700000,63800000,0,21 Dec 1988,1988,0,38951,6.7,R,113,73
Moulin Rouge!,57100000,212000,39900,57400000,0,01 Jun 2001,2001,0,213540,7.7,PG-13,127,66
The English Patient,42300000,21200000,15100000,78700000,0,06 Dec 1996,1996,1,133234,7.4,R,162,87
Life of Pi,91800000,21700000,11500000,125000000,0,21 Nov 2012,2012,0,399787,8,PG,127,79
Jerry Maguire,121500000,21700000,10800000,154000000,1,13 Dec 1996,1996,0,179062,7.3,R,139,77
Terms of Endearment,72900000,21800000,13700000,108400000,0,09 Dec 1983,1983,1,37547,7.4,R,132,79
Places in the Heart,31200000,2300000,1300000,34900000,0,05 Oct 1984,1984,0,7258,7.3,PG,111,N/A
Winter's Bone,6300000,231000,28800,6500000,0,16 Jul 2010,2010,0,105978,7.2,R,100,90
Mystic River,59100000,23100000,7900000,90100000,0,15 Oct 2003,2003,0,320690,8,R,138,84
Little Miss Sunshine,59600000,237000,59600,59900000,0,18 Aug 2006,2006,0,332339,7.9,R,101,80
The Remains of the Day,19500000,2400000,1300000,23200000,1,19 Nov 1993,1993,0,43008,7.9,PG,134,84
Quiz Show,21900000,2400000,475000,24800000,1,07 Oct 1994,1994,0,51236,7.5,PG-13,133,88
A Room with a View,11500000,2500000,6900000,21000000,1,11 Apr 1986,1985,0,27611,7.4,UNRATED,117,80
Dangerous Liaisons,6700000,25000000,3000000,34700000,0,24 Feb 1989,1988,0,50662,7.7,R,119,74
The Lord of the Rings: The Return of the King,338300000,25800000,12900000,377000000,0,17 Dec 2003,2003,1,1107562,8.9,PG-13,201,94
The Lord of the Rings: The Fellowship of the Ring,271700000,25900000,15800000,313400000,0,19 Dec 2001,2001,0,1135762,8.8,PG-13,178,92
There Will Be Blood,8700000,26400000,5100000,40200000,0,25 Jan 2008,2007,0,342198,8.1,R,158,92
Gladiator,186600000,269000,835000,187700000,1,05 May 2000,2000,1,894849,8.5,R,155,64
Gandhi,11900000,27000000,13900000,52800000,1,25 Feb 1983,1982,1,157632,8.1,PG,191,N/A
The Descendants,51500000,27000000,4100000,82600000,0,09 Dec 2011,2011,0,197094,7.3,R,115,84
Midnight in Paris,56400000,272000,96500,56800000,0,10 Jun 2011,2011,0,278762,7.7,PG-13,94,81
Brokeback Mountain,51700000,27200000,4200000,83000000,0,13 Jan 2006,2005,0,245925,7.7,R,134,87
True Grit,138500000,28600000,4100000,171200000,1,22 Dec 2010,2010,0,225055,7.7,PG-13,110,80
The Cider House Rules,20700000,28900000,7900000,57500000,1,07 Jan 2000,1999,0,75993,7.4,PG-13,126,75
Ghost,213600000,2900000,1100000,217600000,1,13 Jul 1990,1990,0,145476,7,PG-13,127,52
Goodfellas,41000000,2900000,2900000,46800000,0,21 Sep 1990,1990,0,667283,8.7,R,146,89
Sideways,32400000,30700000,8300000,71500000,0,21 Jan 2005,2004,0,142434,7.6,R,126,94
Schindler's List,29600000,30700000,35800000,96100000,1,04 Feb 1994,1993,1,789368,8.9,R,195,93
The Color Purple,46400000,31500000,16200000,94200000,0,07 Feb 1986,1985,0,57167,7.8,PG-13,154,N/A
American Sniper,3400000,316600000,30100000,350100000,0,16 Jan 2015,2014,0,269141,7.3,R,133,72
The Godfather: Part III,62500000,3200000,956000,66700000,0,25 Dec 1990,1990,0,244113,7.6,R,162,60
An Education,8800000,3200000,533000,12600000,0,05 Feb 2010,2009,0,106867,7.3,PG-13,100,85
Dances with Wolves,104300000,32700000,47100000,184200000,1,21 Nov 1990,1990,1,174661,8,PG-13,181,72
The Wolf of Wall Street,81700000,32800000,2300000,116900000,0,25 Dec 2013,2013,0,660792,8.2,R,180,75
Selma,16500000,33000000,2500000,52100000,1,09 Jan 2015,2014,0,49277,7.5,PG-13,128,89
Lincoln,145500000,33100000,3600000,182200000,1,16 Nov 2012,2012,0,185318,7.4,PG-13,150,86
As Good as It Gets,92600000,33400000,22500000,148500000,0,25 Dec 1997,1997,0,215345,7.8,PG-13,139,67
Chocolat,27100000,33600000,10900000,71500000,1,19 Jan 2001,2000,0,141795,7.3,PG-13,121,64
The Crying Game,14000000,33600000,14900000,62500000,1,19 Feb 1993,1992,0,39585,7.3,R,112,90
American Beauty,74700000,33800000,21600000,130100000,0,01 Oct 1999,1999,1,757578,8.4,R,122,86
Moonstruck,25400000,34600000,20700000,80600000,1,15 Jan 1988,1987,0,33350,7.1,PG,102,83
The Aviator,58500000,35200000,9000000,102600000,0,25 Dec 2004,2004,0,243974,7.5,PG-13,170,77
Traffic,71200000,36500000,16400000,124100000,0,05 Jan 2001,2000,0,164042,7.6,R,147,86
Shakespeare in Love,36500000,36600000,27100000,100300000,1,08 Jan 1999,1998,1,166464,7.2,R,123,87
The Big Chill,52500000,3700000,181000,56300000,0,30 Sep 1983,1983,0,24357,7.2,R,105,62
A Beautiful Mind,113700000,41000000,16000000,170700000,1,04 Jan 2002,2001,1,548689,8.2,PG-13,135,72
The Imitation Game,42800000,41100000,7200000,91100000,0,25 Dec 2014,2014,0,366245,8.1,PG-13,114,73
Driving Miss Daisy,33600000,41600000,31400000,106600000,1,26 Jan 1990,1989,1,66984,7.4,PG,99,81
American Hustle,104600000,42100000,3400000,150100000,1,20 Dec 2013,2013,0,328990,7.3,R,138,90
Juno,87100000,43300000,13100000,143500000,0,25 Dec 2007,2007,0,389163,7.5,PG-13,96,81
A Soldier's Story,21400000,436000,0,21800000,1,02 Nov 1984,1984,0,6258,7.2,PG,101,N/A
The Fugitive,179400000,4400000,89000,183900000,1,06 Aug 1993,1993,0,201806,7.8,PG-13,130,88
Hope and Glory,5200000,4500000,314000,10000000,0,01 Nov 1987,1987,0,9382,7.4,PG-13,113,N/A
"Crouching Tiger, Hidden Dragon",60800000,45500000,21800000,128100000,0,12 Jan 2001,2000,0,207131,7.9,PG-13,120,93
Babe,58200000,4600000,865000,63700000,0,04 Aug 1995,1995,0,89243,6.8,G,91,83
Seabiscuit,120200000,46300,0,120300000,1,25 Jul 2003,2003,0,55664,7.3,PG-13,140,72
Django Unchained,112500000,46300000,4000000,162800000,1,25 Dec 2012,2012,0,843569,8.5,R,165,81
The Dresser,563000,4700000,0,5300000,0,06 Dec 1983,1983,0,3501,7.7,PG,118,N/A
Good Will Hunting,68900000,47200000,22300000,138400000,0,09 Jan 1998,1997,0,549157,8.3,R,126,70
Amour,371000,4800000,1600000,6700000,1,20 Sep 2012,2012,0,65649,7.9,PG-13,127,94
Whiplash,6200000,5100000,1800000,13100000,0,15 Oct 2014,2014,0,306266,8.5,R,107,88
Tootsie,100800000,51200000,25200000,177200000,1,17 Dec 1982,1982,0,73364,7.4,PG,116,87
Children of a Lesser God,22100000,5300000,4400000,31900000,1,31 Oct 1986,1986,0,11151,7.2,R,119,N/A
The Thin Red Line,30600000,5300000,452000,36400000,1,15 Jan 1999,1998,0,131986,7.6,R,170,78
The Mission,11100000,5300000,782000,17200000,1,31 Oct 1986,1986,0,41597,7.5,PG,125,N/A
Slumdog Millionaire,44700000,53600000,43000000,141300000,1,25 Dec 2008,2008,1,596954,8,R,120,86
The Right Stuff,15700000,5500000,0,21200000,1,21 Oct 1983,1983,0,42917,7.9,PG,193,N/A
The Full Monty,38900000,5500000,1600000,46000000,1,19 Sep 1997,1997,0,78598,7.2,R,91,75
The King's Speech,57900000,56300000,21200000,135500000,0,25 Dec 2010,2010,1,452317,8.1,R,118,88
Million Dollar Baby,8500000,56400000,35600000,100500000,0,28 Jan 2005,2004,1,440683,8.1,PG-13,132,86
Secrets & Lies,5900000,5900000,1600000,13400000,0,25 Oct 1996,1996,0,27018,8,R,136,91
"Good Night, and Good Luck.",25200000,6000000,384000,31600000,1,04 Nov 2005,2005,0,81616,7.5,PG,93,80
Munich,40800000,6000000,672000,47400000,1,06 Jan 2006,2005,0,168845,7.6,R,164,74
Rain Man,97000000,60800000,15100000,172800000,0,16 Dec 1988,1988,1,365025,8,R,133,65
Braveheart,67000000,6300000,2300000,75600000,0,24 May 1995,1995,1,678095,8.4,R,178,68
Platoon,39300000,64800000,34500000,138500000,1,06 Feb 1987,1986,1,270412,8.1,R,120,N/A
War Horse,72600000,6500000,843000,79900000,0,25 Dec 2011,2011,0,109157,7.2,PG-13,146,72
Elizabeth,21400000,6500000,2200000,30100000,1,19 Feb 1999,1998,0,72299,7.5,R,124,75
127 Hours,11300000,6600000,420000,18300000,1,28 Jan 2011,2010,0,260232,7.6,R,94,82
My Left Foot,2100000,6800000,5900000,14700000,1,10 Nov 1989,1989,0,46683,7.9,R,103,N/A
Gangs of New York,70100000,6900000,790000,77800000,0,20 Dec 2002,2002,0,291630,7.5,R,167,72
Chicago,64600000,69400000,36700000,170700000,1,24 Jan 2003,2002,1,162325,7.2,PG-13,113,82
Silver Linings Playbook,35700000,71400000,24900000,132100000,1,25 Dec 2012,2012,0,493310,7.8,R,122,81
Master and Commander: The Far Side of the World,85300000,7200000,1400000,93900000,0,14 Nov 2003,2003,0,160655,7.4,PG-13,138,81
Moneyball,75500000,72600,0,75600000,0,23 Sep 2011,2011,0,268380,7.6,PG-13,133,87
Milk,20700000,7500000,3700000,31800000,1,30 Jan 2009,2008,0,128963,7.6,R,128,84
Unforgiven,75300000,7600000,18300000,101200000,1,07 Aug 1992,1992,1,256500,8.3,R,131,82
The Theory of Everything,26200000,7900000,1800000,35900000,1,26 Nov 2014,2014,0,214904,7.7,PG-13,123,72
The Shawshank Redemption,16800000,8100000,3500000,28300000,1,14 Oct 1994,1994,0,1555482,9.3,R,142,80
The Accidental Tourist,24200000,8400000,0,32600000,1,06 Jan 1989,1988,0,11802,6.8,PG,121,53
The Piano,25700000,8500000,5200000,40200000,1,11 Feb 1994,1993,0,60693,7.6,R,121,89
Frost/Nixon,8900000,8500000,1200000,18600000,0,23 Jan 2009,2008,0,85752,7.7,R,122,80
Nebraska,8600000,8500000,536000,17700000,0,24 Jan 2014,2013,0,83756,7.8,R,115,86
Dallas Buyers Club,16800000,8500000,2000000,27300000,1,22 Nov 2013,2013,0,289248,8,R,117,84
Zero Dark Thirty,5200000,86300000,4200000,95700000,1,11 Jan 2013,2012,0,204200,7.4,R,157,95
Bugsy,38900000,8900000,1300000,49100000,1,20 Dec 1991,1991,0,20429,6.8,R,136,N/A
Lost in Translation,34800000,9000000,714000,44600000,1,03 Oct 2003,2003,0,302990,7.8,R,101,89
Michael Clayton,39400000,9100000,516000,49000000,1,12 Oct 2007,2007,0,126908,7.3,R,119,82
Amadeus,25700000,9100000,16800000,51600000,1,05 Apr 1985,1984,1,248261,8.3,R,160,93
Fatal Attraction,142300000,9300000,5000000,156600000,1,18 Sep 1987,1987,0,51231,6.9,R,119,67
Boyhood,24400000,943000,36800,25400000,1,15 Aug 2014,2014,0,230584,8,R,165,100
Up in the Air,73500000,9500000,812000,83800000,1,23 Dec 2009,2009,0,258673,7.5,R,109,83
The Help,169600000,97400,10800,169700000,1,10 Aug 2011,2011,0,292349,8.1,PG-13,146,62
