Rated,Title,Writer,Actors,imdbVotes,Released,Awards,Genre,imdbRating,PreNomination,Language,Country,PostAwards,Error,Runtime,PostNomination,Win,Metascore,Response,Year,Total,imdbID
R,There Will Be Blood,"Paul Thomas Anderson (screenplay), Upton Sinclair (novel)","Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer",342198,25 Jan 2008,Won 2 Oscars. Another 97 wins & 121 nominations.,Drama,8.1,"$8,700,000","English, American Sign Language",USA,"$5,100,000",,158 min,"$26,400,000",0,92,True,2007,"$40,200,000",tt0469494
PG-13,The Cider House Rules,"John Irving (novel), John Irving (screenplay)","Tobey Maguire, Charlize Theron, Delroy Lindo, Paul Rudd",75993,07 Jan 2000,Won 2 Oscars. Another 6 wins & 29 nominations.,"Drama, Romance",7.4,"$20,700,000",English,USA,"$7,900,000",,126 min,"$28,900,000",0,75,True,1999,"$57,500,000",tt0124315
PG,The Dresser,Ronald Harwood (screenplay),"Albert Finney, Tom Courtenay, Edward Fox, Zena Walker",3501,06 Dec 1983,Nominated for 5 Oscars. Another 5 wins & 12 nominations.,Drama,7.7,"$563,000",English,UK,$0,,118 min,"$4,700,000",0,N/A,True,1983,"$5,300,000",tt0085461
R,The Crying Game,Neil Jordan,"Forest Whitaker, Miranda Richardson, Stephen Rea, Adrian Dunbar",39585,19 Feb 1993,Won 1 Oscar. Another 20 wins & 34 nominations.,"Crime, Drama, Romance",7.3,"$14,000,000",English,"UK, Japan","$14,900,000",,112 min,"$33,600,000",0,90,True,1992,"$62,500,000",tt0104036
R,The Full Monty,Simon Beaufoy,"Robert Carlyle, Mark Addy, William Snape, Steve Huison",78598,19 Sep 1997,Won 1 Oscar. Another 34 wins & 30 nominations.,"Comedy, Drama, Music",7.2,"$38,900,000",English,"UK, USA","$1,600,000",,91 min,"$5,500,000",0,75,True,1997,"$46,000,000",tt0119164
PG,Sense and Sensibility,"Jane Austen (novel), Emma Thompson (screenplay)","James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet",73082,26 Jan 1996,Won 1 Oscar. Another 31 wins & 42 nominations.,"Drama, Romance",7.7,"$24,600,000","English, French","USA, UK","$4,000,000",,136 min,"$14,500,000",0,84,True,1995,"$43,200,000",tt0114388
PG,Places in the Heart,Robert Benton,"Sally Field, Lindsay Crouse, Ed Harris, Amy Madigan",7258,05 Oct 1984,Won 2 Oscars. Another 11 wins & 14 nominations.,Drama,7.3,"$31,200,000",English,USA,"$1,300,000",,111 min,"$2,300,000",0,N/A,True,1984,"$34,900,000",tt0087921
PG,Howards End,"E.M. Forster (novel), Ruth Prawer Jhabvala (screenplay)","Vanessa Redgrave, Helena Bonham Carter, Joseph Bennett, Emma Thompson",20399,26 Feb 1993,Won 3 Oscars. Another 26 wins & 34 nominations.,"Drama, Romance",7.5,"$8,700,000","English, German","UK, Japan, USA","$3,000,000",,140 min,"$14,200,000",0,87,True,1992,"$26,000,000",tt0104454
PG-13,Hannah and Her Sisters,Woody Allen,"Barbara Hershey, Carrie Fisher, Michael Caine, Mia Farrow",49306,14 Mar 1986,Won 3 Oscars. Another 21 wins & 26 nominations.,"Comedy, Drama",8,"$35,400,000",English,USA,$0,,103 min,$0,0,90,True,1986,"$35,400,000",tt0091167
UNRATED,A Room with a View,"E.M. Forster (novel), Ruth Prawer Jhabvala (screenplay)","Maggie Smith, Helena Bonham Carter, Denholm Elliott, Julian Sands",27611,11 Apr 1986,Won 3 Oscars. Another 21 wins & 23 nominations.,"Drama, Romance",7.4,"$11,500,000","English, Italian",UK,"$6,900,000",,117 min,"$2,500,000",0,80,True,1985,"$21,000,000",tt0091867
R,Broadcast News,James L. Brooks,"William Hurt, Albert Brooks, Holly Hunter, Robert Prosky",20069,25 Dec 1987,Nominated for 7 Oscars. Another 13 wins & 16 nominations.,"Comedy, Drama, Romance",7.2,"$36,700,000",English,USA,"$3,300,000",,133 min,"$11,300,000",0,84,True,1987,"$51,200,000",tt0092699
PG-13,The Artist,Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell",177993,20 Jan 2012,Won 5 Oscars. Another 141 wins & 167 nominations.,"Comedy, Drama, Romance",8,"$12,400,000","English, French",France,"$12,900,000",,100 min,"$19,400,000",1,89,True,2011,"$44,700,000",tt1655442
PG,Apollo 13,"Jim Lovell (book), Jeffrey Kluger (book), William Broyles Jr. (screenplay), Al Reinert (screenplay)","Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",196149,30 Jun 1995,Won 2 Oscars. Another 24 wins & 46 nominations.,"Adventure, Drama, History",7.6,"$172,100,000",English,USA,$0,,140 min,$0,0,77,True,1995,"$172,100,000",tt0112384
R,The Fighter,"Scott Silver (screenplay), Paul Tamasy (screenplay), Eric Johnson (screenplay), Paul Tamasy (story), Eric Johnson (story), Keith Dorrington (story)","Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo",256623,17 Dec 2010,Won 2 Oscars. Another 65 wins & 107 nominations.,"Biography, Drama, Sport",7.9,"$73,000,000",English,USA,"$3,200,000",,116 min,"$17,400,000",0,79,True,2010,"$93,600,000",tt0964517
PG-13,Avatar,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang",826521,18 Dec 2009,Won 3 Oscars. Another 76 wins & 114 nominations.,"Action, Adventure, Fantasy",7.9,"$598,500,000","English, Spanish","USA, UK","$29,200,000",,162 min,"$122,200,000",0,83,True,2009,"$749,800,000",tt0499549
R,Whiplash,Damien Chazelle,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist",306266,15 Oct 2014,Won 3 Oscars. Another 78 wins & 110 nominations.,"Drama, Music",8.5,"$6,200,000",English,USA,"$1,800,000",,107 min,"$5,100,000",0,88,True,2014,"$13,100,000",tt2582802
R,Gladiator,"David Franzoni (story), David Franzoni (screenplay), John Logan (screenplay), William Nicholson (screenplay)","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",894849,05 May 2000,Won 5 Oscars. Another 52 wins & 100 nominations.,"Action, Drama",8.5,"$186,600,000",English,"USA, UK","$835,000",,155 min,"$269,000",1,64,True,2000,"$187,700,000",tt0172495
PG,A Soldier's Story,"Charles Fuller (screenplay), Charles Fuller (play)","Howard E. Rollins Jr., Adolph Caesar, Art Evans, David Alan Grier",6258,02 Nov 1984,Nominated for 3 Oscars. Another 5 wins & 6 nominations.,"Crime, Drama, Mystery",7.2,"$21,400,000",English,USA,$0,,101 min,"$436,000",0,N/A,True,1984,"$21,800,000",tt0088146
PG-13,Midnight in Paris,Woody Allen,"Owen Wilson, Rachel McAdams, Kurt Fuller, Mimi Kennedy",278762,10 Jun 2011,Won 1 Oscar. Another 19 wins & 85 nominations.,"Comedy, Fantasy, Romance",7.7,"$56,400,000","English, French, Spanish, German","Spain, USA, France","$96,500",,94 min,"$272,000",0,81,True,2011,"$56,800,000",tt1605783
R,Dangerous Liaisons,"Christopher Hampton (play), Choderlos de Laclos (novel), Christopher Hampton (screenplay)","Glenn Close, John Malkovich, Michelle Pfeiffer, Swoosie Kurtz",50662,24 Feb 1989,Won 3 Oscars. Another 16 wins & 20 nominations.,"Drama, Romance",7.7,"$6,700,000",English,"USA, UK","$3,000,000",,119 min,"$25,000,000",0,74,True,1988,"$34,700,000",tt0094947
PG,Gandhi,John Briley,"Ben Kingsley, Candice Bergen, Edward Fox, John Gielgud",157632,25 Feb 1983,Won 8 Oscars. Another 27 wins & 20 nominations.,"Biography, Drama, History",8.1,"$11,900,000",English,"UK, India","$13,900,000",,191 min,"$27,000,000",1,N/A,True,1982,"$52,800,000",tt0083987
PG,Finding Neverland,"Allan Knee (play), David Magee (screenplay)","Johnny Depp, Kate Winslet, Julie Christie, Radha Mitchell",167576,17 Dec 2004,Won 1 Oscar. Another 20 wins & 67 nominations.,"Biography, Drama, Family",7.8,"$32,700,000",English,"USA, UK","$3,600,000",,106 min,"$15,400,000",0,67,True,2004,"$51,700,000",tt0308644
R,The Reader,"David Hare (screenplay), Bernhard Schlink (book)","Ralph Fiennes, Jeanette Hain, David Kross, Kate Winslet",178455,30 Jan 2009,Won 1 Oscar. Another 23 wins & 44 nominations.,"Drama, Romance",7.6,"$8,100,000","English, German, Greek, Latin","USA, Germany","$11,200,000",,124 min,"$14,900,000",0,58,True,2008,"$34,200,000",tt0976051
R,American Beauty,Alan Ball,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",757578,01 Oct 1999,Won 5 Oscars. Another 101 wins & 96 nominations.,"Drama, Romance",8.4,"$74,700,000",English,USA,"$21,600,000",,122 min,"$33,800,000",1,86,True,1999,"$130,100,000",tt0169547
PG-13,The Last Emperor,"Mark Peploe (screenplay), Bernardo Bertolucci (screenplay), Enzo Ungari (initial screenplay collaboration)","John Lone, Joan Chen, Peter O'Toole, Ruocheng Ying",65382,15 Apr 1988,Won 9 Oscars. Another 43 wins & 15 nominations.,"Biography, Drama, History",7.8,"$11,900,000","English, Mandarin, Japanese, Russian","China, Italy, UK, France","$18,600,000",,163 min,"$13,500,000",1,76,True,1987,"$44,000,000",tt0093389
R,Braveheart,Randall Wallace,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo",678095,24 May 1995,Won 5 Oscars. Another 24 wins & 26 nominations.,"Biography, Drama, History",8.4,"$67,000,000","English, French, Latin, Scottish Gaelic",USA,"$2,300,000",,178 min,"$6,300,000",1,68,True,1995,"$75,600,000",tt0112573
PG,Hugo,"John Logan (screenplay), Brian Selznick (book)","Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz",230279,23 Nov 2011,Won 5 Oscars. Another 49 wins & 159 nominations.,"Adventure, Drama, Family",7.6,"$56,000,000",English,USA,"$4,500,000",,126 min,"$13,400,000",0,83,True,2011,"$73,900,000",tt0970179
PG-13,Captain Phillips,"Billy Ray (screenplay), Richard Phillips (based upon the book ""A Captain's Duty: Somali Pirates,  Navy SEALS,  and Dangerous Days at Sea"" by), Stephan Talty (based upon the book ""A Captain's Duty: Somali Pirates,  Navy SEALS,  and Dangerous Days at Sea"" by)","Tom Hanks, Catherine Keener, Barkhad Abdi, Barkhad Abdirahman",298666,11 Oct 2013,Nominated for 6 Oscars. Another 16 wins & 128 nominations.,"Biography, Drama, Thriller",7.9,"$105,100,000","English, Somali",USA,$0,,134 min,"$2,000,000",0,83,True,2013,"$107,100,000",tt1535109
R,Django Unchained,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington",843569,25 Dec 2012,Won 2 Oscars. Another 50 wins & 133 nominations.,Western,8.5,"$112,500,000","English, German, French",USA,"$4,000,000",,165 min,"$46,300,000",0,81,True,2012,"$162,800,000",tt1853728
PG-13,Extremely Loud & Incredibly Close,"Eric Roth (screenplay), Jonathan Safran Foer (novel)","Tom Hanks, Thomas Horn, Sandra Bullock, Zoe Caldwell",76175,20 Jan 2012,Nominated for 2 Oscars. Another 7 wins & 21 nominations.,"Adventure, Drama, Mystery",6.9,"$11,400,000",English,USA,"$633,000",,129 min,"$19,800,000",0,46,True,2011,"$31,800,000",tt0477302
R,Atonement,"Ian McEwan (novel), Christopher Hampton (screenplay)","Saoirse Ronan, Ailidh Mackay, Brenda Blethyn, Julia West",181415,11 Jan 2008,Won 1 Oscar. Another 46 wins & 134 nominations.,"Drama, Mystery, Romance",7.8,"$32,700,000","English, French","UK, France, USA","$1,500,000",,123 min,"$16,700,000",0,85,True,2007,"$50,900,000",tt0783233
R,Four Weddings and a Funeral,Richard Curtis,"Hugh Grant, James Fleet, Simon Callow, John Hannah",101817,15 Apr 1994,Nominated for 2 Oscars. Another 23 wins & 19 nominations.,"Comedy, Drama, Romance",7.1,"$52,700,000","English, British Sign Language",UK,$0,,117 min,$0,0,81,True,1994,"$52,700,000",tt0109831
R,Winter's Bone,"Debra Granik (screenplay), Anne Rosellini (screenplay), Daniel Woodrell (novel)","Jennifer Lawrence, Isaiah Stone, Ashlee Thompson, Valerie Richards",105978,16 Jul 2010,Nominated for 4 Oscars. Another 58 wins & 112 nominations.,Drama,7.2,"$6,300,000",English,USA,"$28,800",,100 min,"$231,000",0,90,True,2010,"$6,500,000",tt1399683
PG-13,Life Is Beautiful,"Vincenzo Cerami (story), Roberto Benigni (story)","Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano",376965,12 Feb 1999,Won 3 Oscars. Another 60 wins & 42 nominations.,"Comedy, Drama, Romance",8.6,"$18,500,000","Italian, German, English",Italy,"$21,300,000",,116 min,"$17,500,000",0,59,True,1997,"$57,200,000",tt0118799
R,Pulp Fiction,"Quentin Tarantino (story), Roger Avary (story), Quentin Tarantino","Tim Roth, Laura Lovelace, John Travolta, Samuel L. Jackson",1208105,14 Oct 1994,Won 1 Oscar. Another 53 wins & 57 nominations.,"Crime, Drama",8.9,"$76,300,000","English, Spanish, French",USA,"$12,600,000",,154 min,"$19,000,000",0,94,True,1994,"$107,900,000",tt0110912
R,Crash,"Paul Haggis (story), Paul Haggis (screenplay), Robert Moresco (screenplay)","Karina Arroyave, Dato Bakhtadze, Sandra Bullock, Don Cheadle",346188,06 May 2005,Won 3 Oscars. Another 59 wins & 92 nominations.,Drama,7.9,"$53,400,000","English, Persian, Spanish, Mandarin, Korean","Germany, USA","$1,200,000",,112 min,$0,1,69,True,2004,"$54,600,000",tt0375679
PG-13,Juno,Diablo Cody,"Ellen Page, Michael Cera, Jennifer Garner, Jason Bateman",389163,25 Dec 2007,Won 1 Oscar. Another 87 wins & 84 nominations.,"Comedy, Drama, Romance",7.5,"$87,100,000",English,USA,"$13,100,000",,96 min,"$43,300,000",0,81,True,2007,"$143,500,000",tt0467406
PG-13,As Good as It Gets,"Mark Andrus (story), Mark Andrus (screenplay), James L. Brooks (screenplay)","Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr.",215345,25 Dec 1997,Won 2 Oscars. Another 35 wins & 48 nominations.,"Comedy, Drama, Romance",7.8,"$92,600,000",English,USA,"$22,500,000",,139 min,"$33,400,000",0,67,True,1997,"$148,500,000",tt0119822
PG-13,Selma,Paul Webb,"David Oyelowo, Carmen Ejogo, Jim France, Trinity Simone",49277,09 Jan 2015,Won 1 Oscar. Another 54 wins & 74 nominations.,"Biography, Drama, History",7.5,"$16,500,000",English,"UK, USA","$2,500,000",,128 min,"$33,000,000",0,89,True,2014,"$52,100,000",tt1020072
R,No Country for Old Men,"Joel Coen (screenplay), Ethan Coen (screenplay), Cormac McCarthy (novel)","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",559702,21 Nov 2007,Won 4 Oscars. Another 148 wins & 118 nominations.,"Crime, Drama, Thriller",8.1,"$48,900,000","English, Spanish",USA,"$10,000,000",,122 min,"$15,400,000",1,91,True,2007,"$74,300,000",tt0477348
PG-13,The Lord of the Rings: The Return of the King,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay)","Noel Appleby, Ali Astin, Sean Astin, David Aston",1107562,17 Dec 2003,Won 11 Oscars. Another 150 wins & 101 nominations.,"Adventure, Fantasy",8.9,"$338,300,000","English, Quenya, Old English, Sindarin","USA, New Zealand","$12,900,000",,201 min,"$25,800,000",1,94,True,2003,"$377,000,000",tt0167260
R,Good Will Hunting,"Matt Damon, Ben Affleck","Matt Damon, Robin Williams, Ben Affleck, Stellan Skarsgård",549157,09 Jan 1998,Won 2 Oscars. Another 20 wins & 51 nominations.,Drama,8.3,"$68,900,000",English,USA,"$22,300,000",,126 min,"$47,200,000",0,70,True,1997,"$138,400,000",tt0119217
R,Traffic,"Simon Moore (miniseries Traffik), Stephen Gaghan (screenplay)","Benicio Del Toro, Jacob Vargas, Andrew Chavez, Michael Saucedo",164042,05 Jan 2001,Won 4 Oscars. Another 67 wins & 82 nominations.,"Crime, Drama, Thriller",7.6,"$71,200,000","English, Spanish","USA, Germany","$16,400,000",,147 min,"$36,500,000",0,86,True,2000,"$124,100,000",tt0181865
R,The Thin Red Line,"James Jones (novel), Terrence Malick (screenplay)","Nick Nolte, Jim Caviezel, Sean Penn, Elias Koteas",131986,15 Jan 1999,Nominated for 7 Oscars. Another 19 wins & 39 nominations.,"Drama, War",7.6,"$30,600,000","English, Tok Pisin, Japanese, Greek",USA,"$452,000",,170 min,"$5,300,000",0,78,True,1998,"$36,400,000",tt0120863
R,127 Hours,"Danny Boyle (screenplay), Simon Beaufoy (screenplay), Aron Ralston (book)","James Franco, Kate Mara, Amber Tamblyn, Sean Bott",260232,28 Jan 2011,Nominated for 6 Oscars. Another 22 wins & 135 nominations.,"Adventure, Biography, Drama",7.6,"$11,300,000","English, Italian","USA, UK","$420,000",,94 min,"$6,600,000",0,82,True,2010,"$18,300,000",tt1542344
PG-13,Lincoln,"Tony Kushner (screenplay), Doris Kearns Goodwin (book)","Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt",185318,16 Nov 2012,Won 2 Oscars. Another 104 wins & 218 nominations.,"Biography, Drama, History",7.4,"$145,500,000",English,"USA, India","$3,600,000",,150 min,"$33,100,000",0,86,True,2012,"$182,200,000",tt0443272
R,Schindler's List,"Thomas Keneally (book), Steven Zaillian (screenplay)","Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall",789368,04 Feb 1994,Won 7 Oscars. Another 68 wins & 32 nominations.,"Biography, Drama, History",8.9,"$29,600,000","English, Hebrew, German, Polish",USA,"$35,800,000",,195 min,"$30,700,000",1,93,True,1993,"$96,100,000",tt0108052
PG,The Mission,Robert Bolt (original story & screenplay),"Robert De Niro, Jeremy Irons, Ray McAnally, Aidan Quinn",41597,31 Oct 1986,Won 1 Oscar. Another 12 wins & 27 nominations.,"Adventure, Drama, History",7.5,"$11,100,000","English, Guarani, Spanish, Latin","UK, France","$782,000",,125 min,"$5,300,000",0,N/A,True,1986,"$17,200,000",tt0091530
R,Fatal Attraction,"James Dearden (screenplay), James Dearden (short film)","Michael Douglas, Glenn Close, Anne Archer, Ellen Hamilton Latzen",51231,18 Sep 1987,Nominated for 6 Oscars. Another 7 wins & 16 nominations.,"Drama, Thriller",6.9,"$142,300,000",English,USA,"$5,000,000",,119 min,"$9,300,000",0,67,True,1987,"$156,600,000",tt0093010
PG-13,The Tree of Life,Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken",128255,17 May 2011,Nominated for 3 Oscars. Another 96 wins & 104 nominations.,"Drama, Fantasy",6.7,"$13,300,000",English,USA,$0,,139 min,$0,0,85,True,2011,"$13,300,000",tt0478304
PG-13,Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy",1330216,16 Jul 2010,Won 4 Oscars. Another 138 wins & 192 nominations.,"Action, Mystery, Sci-Fi",8.8,"$292,600,000","English, Japanese, French","USA, UK",$0,,148 min,$0,0,74,True,2010,"$292,600,000",tt1375666
N/A,E.T.: The Extra-Terrestrial,Melissa Mathison (characters),N/A,123,N/A,N/A,"Family, Sci-Fi",2,"$329,400,000",English,USA,"$17,100,000",,N/A,"$12,700,000",0,N/A,True,1982,"$359,200,000",tt0308201
R,The Descendants,"Alexander Payne (screenplay), Nat Faxon (screenplay), Jim Rash (screenplay), Kaui Hart Hemmings (novel)","George Clooney, Shailene Woodley, Amara Miller, Nick Krause",197094,09 Dec 2011,Won 1 Oscar. Another 64 wins & 130 nominations.,"Comedy, Drama",7.3,"$51,500,000",English,USA,"$4,100,000",,115 min,"$27,000,000",0,84,True,2011,"$82,600,000",tt1033575
PG-13,The Curious Case of Benjamin Button,"Eric Roth (screenplay), Eric Roth (story), Robin Swicord (story), F. Scott Fitzgerald (short story)","Cate Blanchett, Brad Pitt, Julia Ormond, Faune Chambers Watkins",428551,25 Dec 2008,Won 3 Oscars. Another 67 wins & 128 nominations.,"Drama, Fantasy, Romance",7.8,"$104,400,000","English, Russian, French",USA,"$3,300,000",,166 min,"$19,800,000",0,70,True,2008,"$127,500,000",tt0421715
R,The Kids Are All Right,"Lisa Cholodenko, Stuart Blumberg","Julianne Moore, Annette Bening, Mark Ruffalo, Mia Wasikowska",105902,30 Jul 2010,Nominated for 4 Oscars. Another 27 wins & 108 nominations.,"Comedy, Drama",7.1,"$20,800,000",English,USA,$0,,106 min,$0,0,86,True,2010,"$20,800,000",tt0842926
R,The Big Chill,"Lawrence Kasdan, Barbara Benedek","Tom Berenger, Glenn Close, Jeff Goldblum, William Hurt",24357,30 Sep 1983,Nominated for 3 Oscars. Another 3 wins & 5 nominations.,"Comedy, Drama",7.2,"$52,500,000",English,USA,"$181,000",,105 min,"$3,700,000",0,62,True,1983,"$56,300,000",tt0085244
R,L.A. Confidential,"James Ellroy (novel), Brian Helgeland (screenplay), Curtis Hanson (screenplay)","Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell",386476,19 Sep 1997,Won 2 Oscars. Another 80 wins & 77 nominations.,"Crime, Drama, Mystery",8.3,"$39,700,000",English,USA,"$6,900,000",,138 min,"$17,900,000",0,90,True,1997,"$64,600,000",tt0119488
PG-13,Seabiscuit,"Laura Hillenbrand (book), Gary Ross (screenplay)","David McCullough, Jeff Bridges, Paul Vincent O'Connor, Chris Cooper",55664,25 Jul 2003,Nominated for 7 Oscars. Another 6 wins & 33 nominations.,"Drama, History, Sport",7.3,"$120,200,000",English,USA,$0,,140 min,"$46,300",0,72,True,2003,"$120,300,000",tt0329575
PG-13,Master and Commander: The Far Side of the World,"Patrick O'Brian (novels), Peter Weir (screenplay), John Collee (screenplay)","Russell Crowe, Paul Bettany, James D'Arcy, Edward Woodall",160655,14 Nov 2003,Won 2 Oscars. Another 21 wins & 72 nominations.,"Action, Adventure, Drama",7.4,"$85,300,000","English, French, Portuguese",USA,"$1,400,000",,138 min,"$7,200,000",0,81,True,2003,"$93,900,000",tt0311113
PG-13,Philomena,"Steve Coogan (screenplay), Jeff Pope (screenplay), Martin Sixsmith (book)","Judi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham",68476,27 Nov 2013,Nominated for 4 Oscars. Another 29 wins & 71 nominations.,"Biography, Drama",7.6,"$22,500,000",English,"UK, USA, France","$3,100,000",,98 min,"$12,100,000",0,76,True,2013,"$37,700,000",tt2431286
PG-13,Beasts of the Southern Wild,"Lucy Alibar (screenplay), Benh Zeitlin (screenplay), Lucy Alibar (stage play ""Juicy and Delicious"")","Quvenzhané Wallis, Dwight Henry, Levy Easterly, Lowell Landes",66982,05 Jul 2012,Nominated for 4 Oscars. Another 91 wins & 119 nominations.,"Drama, Fantasy",7.3,"$11,300,000",English,USA,"$224,000",,93 min,"$1,300,000",0,86,True,2012,"$12,800,000",tt2125435
R,Working Girl,Kevin Wade,"Harrison Ford, Sigourney Weaver, Melanie Griffith, Alec Baldwin",38951,21 Dec 1988,Won 1 Oscar. Another 8 wins & 16 nominations.,"Comedy, Drama, Romance",6.7,"$42,100,000",English,USA,"$1,700,000",,113 min,"$20,000,000",0,73,True,1988,"$63,800,000",tt0096463
R,Little Miss Sunshine,Michael Arndt,"Abigail Breslin, Greg Kinnear, Paul Dano, Alan Arkin",332339,18 Aug 2006,Won 2 Oscars. Another 65 wins & 96 nominations.,"Comedy, Drama",7.9,"$59,600,000",English,USA,"$59,600",,101 min,"$237,000",0,80,True,2006,"$59,900,000",tt0449059
R,Shakespeare in Love,"Marc Norman, Tom Stoppard","Geoffrey Rush, Tom Wilkinson, Steven O'Donnell, Tim McMullan",166464,08 Jan 1999,Won 7 Oscars. Another 55 wins & 85 nominations.,"Comedy, Drama, Romance",7.2,"$36,500,000",English,USA,"$27,100,000",,123 min,"$36,600,000",1,87,True,1998,"$100,300,000",tt0138097
R,Scent of a Woman,"Giovanni Arpino (novel), Bo Goldman (screenplay), Ruggero Maccari (character from Profumo Di Donna), Dino Risi (character from Profumo Di Donna)","Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar",183208,08 Jan 1993,Won 1 Oscar. Another 5 wins & 10 nominations.,Drama,8,"$34,100,000",English,USA,"$10,400,000",,156 min,"$18,500,000",0,59,True,1992,"$63,100,000",tt0105323
PG-13,Amour,Michael Haneke (screenplay),"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud",65649,20 Sep 2012,Won 1 Oscar. Another 75 wins & 95 nominations.,"Drama, Romance",7.9,"$371,000","French, English","France, Germany, Austria","$1,600,000",,127 min,"$4,800,000",0,94,True,2012,"$6,700,000",tt1602620
R,Zero Dark Thirty,Mark Boal,"Jason Clarke, Reda Kateb, Jessica Chastain, Kyle Chandler",204200,11 Jan 2013,Won 1 Oscar. Another 83 wins & 156 nominations.,"Drama, History, Thriller",7.4,"$5,200,000","English, Arabic",USA,"$4,200,000",,157 min,"$86,300,000",0,95,True,2012,"$95,700,000",tt1790885
PG-13,The Imitation Game,"Graham Moore, Andrew Hodges (book)","Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear",366245,25 Dec 2014,Won 1 Oscar. Another 43 wins & 138 nominations.,"Biography, Drama, Thriller",8.1,"$42,800,000","English, German","UK, USA","$7,200,000",,114 min,"$41,100,000",0,73,True,2014,"$91,100,000",tt2084970
PG-13,Chicago,"Bill Condon (screenplay), Bob Fosse (book), Fred Ebb (book), Maurine Dallas Watkins (play)","Taye Diggs, Cliff Saunders, Catherine Zeta-Jones, Renée Zellweger",162325,24 Jan 2003,Won 6 Oscars. Another 45 wins & 98 nominations.,"Comedy, Crime, Musical",7.2,"$64,600,000","English, Hungarian","USA, Germany, Canada","$36,700,000",,113 min,"$69,400,000",1,82,True,2002,"$170,700,000",tt0299658
PG-13,Moulin Rouge!,"Baz Luhrmann, Craig Pearce","Nicole Kidman, Ewan McGregor, John Leguizamo, Jim Broadbent",213540,01 Jun 2001,Won 2 Oscars. Another 79 wins & 118 nominations.,"Drama, Musical, Romance",7.7,"$57,100,000","English, French, Spanish","USA, Australia","$39,900",,127 min,"$212,000",0,66,True,2001,"$57,400,000",tt0203009
R,Babel,"Guillermo Arriaga, Guillermo Arriaga (idea), Alejandro González Iñárritu (idea)","Brad Pitt, Cate Blanchett, Mohamed Akhzam, Peter Wight",230802,10 Nov 2006,Won 1 Oscar. Another 40 wins & 114 nominations.,Drama,7.5,"$23,800,000","English, Arabic, Spanish, Japanese, Berber languages, French, Russian, Japanese Sign Language","France, USA, Mexico","$497,000",,143 min,"$10,000,000",0,69,True,2006,"$34,300,000",tt0449467
R,Black Swan,"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)","Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey",515022,17 Dec 2010,Won 1 Oscar. Another 86 wins & 229 nominations.,"Drama, Thriller",8,"$83,700,000","English, French, Italian",USA,"$3,400,000",,108 min,"$19,800,000",0,79,True,2010,"$107,000,000",tt0947798
PG-13,The Fugitive,"Jeb Stuart (screenplay), David Twohy (screenplay), David Twohy (story), Roy Huggins (characters)","Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore",201806,06 Aug 1993,Won 1 Oscar. Another 11 wins & 25 nominations.,"Action, Adventure, Crime",7.8,"$179,400,000","English, Polish, Spanish",USA,"$89,000",,130 min,"$4,400,000",0,88,True,1993,"$183,900,000",tt0106977
R,The Piano,Jane Campion,"Holly Hunter, Harvey Keitel, Sam Neill, Anna Paquin",60693,11 Feb 1994,Won 3 Oscars. Another 56 wins & 41 nominations.,"Drama, Music, Romance",7.6,"$25,700,000","English, British Sign Language, Maori","New Zealand, Australia, France","$5,200,000",,121 min,"$8,500,000",0,89,True,1993,"$40,200,000",tt0107822
