Title,PreNomination,PostNomination,PostAwards,Total,Released,Year,Win,imdbVotes,imdbRating,Rated,Runtime,Metascore,,,,,,,,Writer,Actors,Language,imdbID,Country,Awards,Genre
Sense and Sensibility,24600000,14500000,4000000,43200000,26 Jan 1996,1995,0,73082,7.7,PG,136,84,,,,,,,,"Jane Austen (novel), Emma Thompson (screenplay)","James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet","English, French",tt0114388,"USA, UK",Won 1 Oscar. Another 31 wins & 42 nominations.,"Drama, Romance"
Places in the Heart,31200000,2300000,1300000,34900000,05 Oct 1984,1984,0,7258,7.3,PG,111,N/A,,,,,,,,Robert Benton,"Sally Field, Lindsay Crouse, Ed Harris, Amy Madigan",English,tt0087921,USA,Won 2 Oscars. Another 11 wins & 14 nominations.,Drama
Howards End,8700000,14200000,3000000,26000000,26 Feb 1993,1992,0,20399,7.5,PG,140,87,,,,,,,,"E.M. Forster (novel), Ruth Prawer Jhabvala (screenplay)","Vanessa Redgrave, Helena Bonham Carter, Joseph Bennett, Emma Thompson","English, German",tt0104454,"UK, Japan, USA",Won 3 Oscars. Another 26 wins & 34 nominations.,"Drama, Romance"
Hannah and Her Sisters,35400000,0,0,35400000,14 Mar 1986,1986,0,49306,8,PG-13,103,90,,,,,,,,Woody Allen,"Barbara Hershey, Carrie Fisher, Michael Caine, Mia Farrow",English,tt0091167,USA,Won 3 Oscars. Another 21 wins & 26 nominations.,"Comedy, Drama"
A Room with a View,11500000,2500000,6900000,21000000,11 Apr 1986,1985,0,27611,7.4,UNRATED,117,80,,,,,,,,"E.M. Forster (novel), Ruth Prawer Jhabvala (screenplay)","Maggie Smith, Helena Bonham Carter, Denholm Elliott, Julian Sands","English, Italian",tt0091867,UK,Won 3 Oscars. Another 21 wins & 23 nominations.,"Drama, Romance"
Broadcast News,36700000,11300000,3300000,51200000,25 Dec 1987,1987,0,20069,7.2,R,133,84,,,,,,,,James L. Brooks,"William Hurt, Albert Brooks, Holly Hunter, Robert Prosky",English,tt0092699,USA,Nominated for 7 Oscars. Another 13 wins & 16 nominations.,"Comedy, Drama, Romance"
The Artist,12400000,19400000,12900000,44700000,20 Jan 2012,2011,1,177993,8,PG-13,100,89,,,,,,,,Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell","English, French",tt1655442,France,Won 5 Oscars. Another 141 wins & 167 nominations.,"Comedy, Drama, Romance"
Apollo 13,172100000,0,0,172100000,30 Jun 1995,1995,0,196149,7.6,PG,140,77,,,,,,,,"Jim Lovell (book), Jeffrey Kluger (book), William Broyles Jr. (screenplay), Al Reinert (screenplay)","Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",English,tt0112384,USA,Won 2 Oscars. Another 24 wins & 46 nominations.,"Adventure, Drama, History"
The Fighter,73000000,17400000,3200000,93600000,17 Dec 2010,2010,0,256623,7.9,R,116,79,,,,,,,,"Scott Silver (screenplay), Paul Tamasy (screenplay), Eric Johnson (screenplay), Paul Tamasy (story), Eric Johnson (story), Keith Dorrington (story)","Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo",English,tt0964517,USA,Won 2 Oscars. Another 65 wins & 107 nominations.,"Biography, Drama, Sport"
Avatar,598500000,122200000,29200000,749800000,18 Dec 2009,2009,0,826521,7.9,PG-13,162,83,,,,,,,,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang","English, Spanish",tt0499549,"USA, UK",Won 3 Oscars. Another 76 wins & 114 nominations.,"Action, Adventure, Fantasy"
Whiplash,6200000,5100000,1800000,13100000,15 Oct 2014,2014,0,306266,8.5,R,107,88,,,,,,,,Damien Chazelle,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist",English,tt2582802,USA,Won 3 Oscars. Another 78 wins & 110 nominations.,"Drama, Music"
Gladiator,186600000,269000,835000,187700000,05 May 2000,2000,1,894849,8.5,R,155,64,,,,,,,,"David Franzoni (story), David Franzoni (screenplay), John Logan (screenplay), William Nicholson (screenplay)","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",English,tt0172495,"USA, UK",Won 5 Oscars. Another 52 wins & 100 nominations.,"Action, Drama"
A Soldier's Story,21400000,436000,0,21800000,02 Nov 1984,1984,0,6258,7.2,PG,101,N/A,,,,,,,,"Charles Fuller (screenplay), Charles Fuller (play)","Howard E. Rollins Jr., Adolph Caesar, Art Evans, David Alan Grier",English,tt0088146,USA,Nominated for 3 Oscars. Another 5 wins & 6 nominations.,"Crime, Drama, Mystery"
Midnight in Paris,56400000,272000,96500,56800000,10 Jun 2011,2011,0,278762,7.7,PG-13,94,81,,,,,,,,Woody Allen,"Owen Wilson, Rachel McAdams, Kurt Fuller, Mimi Kennedy","English, French, Spanish, German",tt1605783,"Spain, USA, France",Won 1 Oscar. Another 19 wins & 85 nominations.,"Comedy, Fantasy, Romance"
Dangerous Liaisons,6700000,25000000,3000000,34700000,24 Feb 1989,1988,0,50662,7.7,R,119,74,,,,,,,,"Christopher Hampton (play), Choderlos de Laclos (novel), Christopher Hampton (screenplay)","Glenn Close, John Malkovich, Michelle Pfeiffer, Swoosie Kurtz",English,tt0094947,"USA, UK",Won 3 Oscars. Another 16 wins & 20 nominations.,"Drama, Romance"
Gandhi,11900000,27000000,13900000,52800000,25 Feb 1983,1982,1,157632,8.1,PG,191,N/A,,,,,,,,John Briley,"Ben Kingsley, Candice Bergen, Edward Fox, John Gielgud",English,tt0083987,"UK, India",Won 8 Oscars. Another 27 wins & 20 nominations.,"Biography, Drama, History"
Finding Neverland,32700000,15400000,3600000,51700000,17 Dec 2004,2004,0,167576,7.8,PG,106,67,,,,,,,,"Allan Knee (play), David Magee (screenplay)","Johnny Depp, Kate Winslet, Julie Christie, Radha Mitchell",English,tt0308644,"USA, UK",Won 1 Oscar. Another 20 wins & 67 nominations.,"Biography, Drama, Family"
The Reader,8100000,14900000,11200000,34200000,30 Jan 2009,2008,0,178455,7.6,R,124,58,,,,,,,,"David Hare (screenplay), Bernhard Schlink (book)","Ralph Fiennes, Jeanette Hain, David Kross, Kate Winslet","English, German, Greek, Latin",tt0976051,"USA, Germany",Won 1 Oscar. Another 23 wins & 44 nominations.,"Drama, Romance"
American Beauty,74700000,33800000,21600000,130100000,01 Oct 1999,1999,1,757578,8.4,R,122,86,,,,,,,,Alan Ball,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",English,tt0169547,USA,Won 5 Oscars. Another 101 wins & 96 nominations.,"Drama, Romance"
The Last Emperor,11900000,13500000,18600000,44000000,15 Apr 1988,1987,1,65382,7.8,PG-13,163,76,,,,,,,,"Mark Peploe (screenplay), Bernardo Bertolucci (screenplay), Enzo Ungari (initial screenplay collaboration)","John Lone, Joan Chen, Peter O'Toole, Ruocheng Ying","English, Mandarin, Japanese, Russian",tt0093389,"China, Italy, UK, France",Won 9 Oscars. Another 43 wins & 15 nominations.,"Biography, Drama, History"
Braveheart,67000000,6300000,2300000,75600000,24 May 1995,1995,1,678095,8.4,R,178,68,,,,,,,,Randall Wallace,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo","English, French, Latin, Scottish Gaelic",tt0112573,USA,Won 5 Oscars. Another 24 wins & 26 nominations.,"Biography, Drama, History"
Hugo,56000000,13400000,4500000,73900000,23 Nov 2011,2011,0,230279,7.6,PG,126,83,,,,,,,,"John Logan (screenplay), Brian Selznick (book)","Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz",English,tt0970179,USA,Won 5 Oscars. Another 49 wins & 159 nominations.,"Adventure, Drama, Family"
Captain Phillips,105100000,2000000,0,107100000,11 Oct 2013,2013,0,298666,7.9,PG-13,134,83,,,,,,,,"Billy Ray (screenplay), Richard Phillips (based upon the book ""A Captain's Duty: Somali Pirates,  Navy SEALS,  and Dangerous Days at Sea"" by), Stephan Talty (based upon the book ""A Captain's Duty: Somali Pirates,  Navy SEALS,  and Dangerous Days at Sea"" by)","Tom Hanks, Catherine Keener, Barkhad Abdi, Barkhad Abdirahman","English, Somali",tt1535109,USA,Nominated for 6 Oscars. Another 16 wins & 128 nominations.,"Biography, Drama, Thriller"
Django Unchained,112500000,46300000,4000000,162800000,25 Dec 2012,2012,0,843569,8.5,R,165,81,,,,,,,,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington","English, German, French",tt1853728,USA,Won 2 Oscars. Another 50 wins & 133 nominations.,Western
Extremely Loud & Incredibly Close,11400000,19800000,633000,31800000,20 Jan 2012,2011,0,76175,6.9,PG-13,129,46,,,,,,,,"Eric Roth (screenplay), Jonathan Safran Foer (novel)","Tom Hanks, Thomas Horn, Sandra Bullock, Zoe Caldwell",English,tt0477302,USA,Nominated for 2 Oscars. Another 7 wins & 21 nominations.,"Adventure, Drama, Mystery"
Atonement,32700000,16700000,1500000,50900000,11 Jan 2008,2007,0,181415,7.8,R,123,85,,,,,,,,"Ian McEwan (novel), Christopher Hampton (screenplay)","Saoirse Ronan, Ailidh Mackay, Brenda Blethyn, Julia West","English, French",tt0783233,"UK, France, USA",Won 1 Oscar. Another 46 wins & 134 nominations.,"Drama, Mystery, Romance"
Four Weddings and a Funeral,52700000,0,0,52700000,15 Apr 1994,1994,0,101817,7.1,R,117,81,,,,,,,,Richard Curtis,"Hugh Grant, James Fleet, Simon Callow, John Hannah","English, British Sign Language",tt0109831,UK,Nominated for 2 Oscars. Another 23 wins & 19 nominations.,"Comedy, Drama, Romance"
Winter's Bone,6300000,231000,28800,6500000,16 Jul 2010,2010,0,105978,7.2,R,100,90,,,,,,,,"Debra Granik (screenplay), Anne Rosellini (screenplay), Daniel Woodrell (novel)","Jennifer Lawrence, Isaiah Stone, Ashlee Thompson, Valerie Richards",English,tt1399683,USA,Nominated for 4 Oscars. Another 58 wins & 112 nominations.,Drama
Life Is Beautiful,18500000,17500000,21300000,57200000,12 Feb 1999,1997,0,376965,8.6,PG-13,116,59,,,,,,,,"Vincenzo Cerami (story), Roberto Benigni (story)","Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano","Italian, German, English",tt0118799,Italy,Won 3 Oscars. Another 60 wins & 42 nominations.,"Comedy, Drama, Romance"
Pulp Fiction,76300000,19000000,12600000,107900000,14 Oct 1994,1994,0,1208105,8.9,R,154,94,,,,,,,,"Quentin Tarantino (story), Roger Avary (story), Quentin Tarantino","Tim Roth, Laura Lovelace, John Travolta, Samuel L. Jackson","English, Spanish, French",tt0110912,USA,Won 1 Oscar. Another 53 wins & 57 nominations.,"Crime, Drama"
Crash,53400000,0,1200000,54600000,06 May 2005,2004,1,346188,7.9,R,112,69,,,,,,,,"Paul Haggis (story), Paul Haggis (screenplay), Robert Moresco (screenplay)","Karina Arroyave, Dato Bakhtadze, Sandra Bullock, Don Cheadle","English, Persian, Spanish, Mandarin, Korean",tt0375679,"Germany, USA",Won 3 Oscars. Another 59 wins & 92 nominations.,Drama
Juno,87100000,43300000,13100000,143500000,25 Dec 2007,2007,0,389163,7.5,PG-13,96,81,,,,,,,,Diablo Cody,"Ellen Page, Michael Cera, Jennifer Garner, Jason Bateman",English,tt0467406,USA,Won 1 Oscar. Another 87 wins & 84 nominations.,"Comedy, Drama, Romance"
As Good as It Gets,92600000,33400000,22500000,148500000,25 Dec 1997,1997,0,215345,7.8,PG-13,139,67,,,,,,,,"Mark Andrus (story), Mark Andrus (screenplay), James L. Brooks (screenplay)","Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr.",English,tt0119822,USA,Won 2 Oscars. Another 35 wins & 48 nominations.,"Comedy, Drama, Romance"
Selma,16500000,33000000,2500000,52100000,09 Jan 2015,2014,0,49277,7.5,PG-13,128,89,,,,,,,,Paul Webb,"David Oyelowo, Carmen Ejogo, Jim France, Trinity Simone",English,tt1020072,"UK, USA",Won 1 Oscar. Another 54 wins & 74 nominations.,"Biography, Drama, History"
No Country for Old Men,48900000,15400000,10000000,74300000,21 Nov 2007,2007,1,559702,8.1,R,122,91,,,,,,,,"Joel Coen (screenplay), Ethan Coen (screenplay), Cormac McCarthy (novel)","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson","English, Spanish",tt0477348,USA,Won 4 Oscars. Another 148 wins & 118 nominations.,"Crime, Drama, Thriller"
The Lord of the Rings: The Return of the King,338300000,25800000,12900000,377000000,17 Dec 2003,2003,1,1107562,8.9,PG-13,201,94,,,,,,,,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay)","Noel Appleby, Ali Astin, Sean Astin, David Aston","English, Quenya, Old English, Sindarin",tt0167260,"USA, New Zealand",Won 11 Oscars. Another 150 wins & 101 nominations.,"Adventure, Fantasy"
Good Will Hunting,68900000,47200000,22300000,138400000,09 Jan 1998,1997,0,549157,8.3,R,126,70,,,,,,,,"Matt Damon, Ben Affleck","Matt Damon, Robin Williams, Ben Affleck, Stellan Skarsgård",English,tt0119217,USA,Won 2 Oscars. Another 20 wins & 51 nominations.,Drama
Traffic,71200000,36500000,16400000,124100000,05 Jan 2001,2000,0,164042,7.6,R,147,86,,,,,,,,"Simon Moore (miniseries Traffik), Stephen Gaghan (screenplay)","Benicio Del Toro, Jacob Vargas, Andrew Chavez, Michael Saucedo","English, Spanish",tt0181865,"USA, Germany",Won 4 Oscars. Another 67 wins & 82 nominations.,"Crime, Drama, Thriller"
The Thin Red Line,30600000,5300000,452000,36400000,15 Jan 1999,1998,0,131986,7.6,R,170,78,,,,,,,,"James Jones (novel), Terrence Malick (screenplay)","Nick Nolte, Jim Caviezel, Sean Penn, Elias Koteas","English, Tok Pisin, Japanese, Greek",tt0120863,USA,Nominated for 7 Oscars. Another 19 wins & 39 nominations.,"Drama, War"
127 Hours,11300000,6600000,420000,18300000,28 Jan 2011,2010,0,260232,7.6,R,94,82,,,,,,,,"Danny Boyle (screenplay), Simon Beaufoy (screenplay), Aron Ralston (book)","James Franco, Kate Mara, Amber Tamblyn, Sean Bott","English, Italian",tt1542344,"USA, UK",Nominated for 6 Oscars. Another 22 wins & 135 nominations.,"Adventure, Biography, Drama"
Lincoln,145500000,33100000,3600000,182200000,16 Nov 2012,2012,0,185318,7.4,PG-13,150,86,,,,,,,,"Tony Kushner (screenplay), Doris Kearns Goodwin (book)","Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt",English,tt0443272,"USA, India",Won 2 Oscars. Another 104 wins & 218 nominations.,"Biography, Drama, History"
Schindler's List,29600000,30700000,35800000,96100000,04 Feb 1994,1993,1,789368,8.9,R,195,93,,,,,,,,"Thomas Keneally (book), Steven Zaillian (screenplay)","Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall","English, Hebrew, German, Polish",tt0108052,USA,Won 7 Oscars. Another 68 wins & 32 nominations.,"Biography, Drama, History"
The Mission,11100000,5300000,782000,17200000,31 Oct 1986,1986,0,41597,7.5,PG,125,N/A,,,,,,,,Robert Bolt (original story & screenplay),"Robert De Niro, Jeremy Irons, Ray McAnally, Aidan Quinn","English, Guarani, Spanish, Latin",tt0091530,"UK, France",Won 1 Oscar. Another 12 wins & 27 nominations.,"Adventure, Drama, History"
Fatal Attraction,142300000,9300000,5000000,156600000,18 Sep 1987,1987,0,51231,6.9,R,119,67,,,,,,,,"James Dearden (screenplay), James Dearden (short film)","Michael Douglas, Glenn Close, Anne Archer, Ellen Hamilton Latzen",English,tt0093010,USA,Nominated for 6 Oscars. Another 7 wins & 16 nominations.,"Drama, Thriller"
The Tree of Life,13300000,0,0,13300000,17 May 2011,2011,0,128255,6.7,PG-13,139,85,,,,,,,,Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken",English,tt0478304,USA,Nominated for 3 Oscars. Another 96 wins & 104 nominations.,"Drama, Fantasy"
Inception,292600000,0,0,292600000,16 Jul 2010,2010,0,1330216,8.8,PG-13,148,74,,,,,,,,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy","English, Japanese, French",tt1375666,"USA, UK",Won 4 Oscars. Another 138 wins & 192 nominations.,"Action, Mystery, Sci-Fi"
E.T.: The Extra-Terrestrial,329400000,12700000,17100000,359200000,N/A,1982,0,123,2,N/A,N/A,N/A,,,,,,,,Melissa Mathison (characters),N/A,English,tt0308201,USA,N/A,"Family, Sci-Fi"
The Descendants,51500000,27000000,4100000,82600000,09 Dec 2011,2011,0,197094,7.3,R,115,84,,,,,,,,"Alexander Payne (screenplay), Nat Faxon (screenplay), Jim Rash (screenplay), Kaui Hart Hemmings (novel)","George Clooney, Shailene Woodley, Amara Miller, Nick Krause",English,tt1033575,USA,Won 1 Oscar. Another 64 wins & 130 nominations.,"Comedy, Drama"
The Curious Case of Benjamin Button,104400000,19800000,3300000,127500000,25 Dec 2008,2008,0,428551,7.8,PG-13,166,70,,,,,,,,"Eric Roth (screenplay), Eric Roth (story), Robin Swicord (story), F. Scott Fitzgerald (short story)","Cate Blanchett, Brad Pitt, Julia Ormond, Faune Chambers Watkins","English, Russian, French",tt0421715,USA,Won 3 Oscars. Another 67 wins & 128 nominations.,"Drama, Fantasy, Romance"
The Kids Are All Right,20800000,0,0,20800000,30 Jul 2010,2010,0,105902,7.1,R,106,86,,,,,,,,"Lisa Cholodenko, Stuart Blumberg","Julianne Moore, Annette Bening, Mark Ruffalo, Mia Wasikowska",English,tt0842926,USA,Nominated for 4 Oscars. Another 27 wins & 108 nominations.,"Comedy, Drama"
The Big Chill,52500000,3700000,181000,56300000,30 Sep 1983,1983,0,24357,7.2,R,105,62,,,,,,,,"Lawrence Kasdan, Barbara Benedek","Tom Berenger, Glenn Close, Jeff Goldblum, William Hurt",English,tt0085244,USA,Nominated for 3 Oscars. Another 3 wins & 5 nominations.,"Comedy, Drama"
L.A. Confidential,39700000,17900000,6900000,64600000,19 Sep 1997,1997,0,386476,8.3,R,138,90,,,,,,,,"James Ellroy (novel), Brian Helgeland (screenplay), Curtis Hanson (screenplay)","Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell",English,tt0119488,USA,Won 2 Oscars. Another 80 wins & 77 nominations.,"Crime, Drama, Mystery"
Seabiscuit,120200000,46300,0,120300000,25 Jul 2003,2003,0,55664,7.3,PG-13,140,72,,,,,,,,"Laura Hillenbrand (book), Gary Ross (screenplay)","David McCullough, Jeff Bridges, Paul Vincent O'Connor, Chris Cooper",English,tt0329575,USA,Nominated for 7 Oscars. Another 6 wins & 33 nominations.,"Drama, History, Sport"
Master and Commander: The Far Side of the World,85300000,7200000,1400000,93900000,14 Nov 2003,2003,0,160655,7.4,PG-13,138,81,,,,,,,,"Patrick O'Brian (novels), Peter Weir (screenplay), John Collee (screenplay)","Russell Crowe, Paul Bettany, James D'Arcy, Edward Woodall","English, French, Portuguese",tt0311113,USA,Won 2 Oscars. Another 21 wins & 72 nominations.,"Action, Adventure, Drama"
Philomena,22500000,12100000,3100000,37700000,27 Nov 2013,2013,0,68476,7.6,PG-13,98,76,,,,,,,,"Steve Coogan (screenplay), Jeff Pope (screenplay), Martin Sixsmith (book)","Judi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham",English,tt2431286,"UK, USA, France",Nominated for 4 Oscars. Another 29 wins & 71 nominations.,"Biography, Drama"
Beasts of the Southern Wild,11300000,1300000,224000,12800000,05 Jul 2012,2012,0,66982,7.3,PG-13,93,86,,,,,,,,"Lucy Alibar (screenplay), Benh Zeitlin (screenplay), Lucy Alibar (stage play ""Juicy and Delicious"")","Quvenzhané Wallis, Dwight Henry, Levy Easterly, Lowell Landes",English,tt2125435,USA,Nominated for 4 Oscars. Another 91 wins & 119 nominations.,"Drama, Fantasy"
Working Girl,42100000,20000000,1700000,63800000,21 Dec 1988,1988,0,38951,6.7,R,113,73,,,,,,,,Kevin Wade,"Harrison Ford, Sigourney Weaver, Melanie Griffith, Alec Baldwin",English,tt0096463,USA,Won 1 Oscar. Another 8 wins & 16 nominations.,"Comedy, Drama, Romance"
Little Miss Sunshine,59600000,237000,59600,59900000,18 Aug 2006,2006,0,332339,7.9,R,101,80,,,,,,,,Michael Arndt,"Abigail Breslin, Greg Kinnear, Paul Dano, Alan Arkin",English,tt0449059,USA,Won 2 Oscars. Another 65 wins & 96 nominations.,"Comedy, Drama"
Shakespeare in Love,36500000,36600000,27100000,100300000,08 Jan 1999,1998,1,166464,7.2,R,123,87,,,,,,,,"Marc Norman, Tom Stoppard","Geoffrey Rush, Tom Wilkinson, Steven O'Donnell, Tim McMullan",English,tt0138097,USA,Won 7 Oscars. Another 55 wins & 85 nominations.,"Comedy, Drama, Romance"
Scent of a Woman,34100000,18500000,10400000,63100000,08 Jan 1993,1992,0,183208,8,R,156,59,,,,,,,,"Giovanni Arpino (novel), Bo Goldman (screenplay), Ruggero Maccari (character from Profumo Di Donna), Dino Risi (character from Profumo Di Donna)","Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar",English,tt0105323,USA,Won 1 Oscar. Another 5 wins & 10 nominations.,Drama
Amour,371000,4800000,1600000,6700000,20 Sep 2012,2012,0,65649,7.9,PG-13,127,94,,,,,,,,Michael Haneke (screenplay),"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud","French, English",tt1602620,"France, Germany, Austria",Won 1 Oscar. Another 75 wins & 95 nominations.,"Drama, Romance"
Zero Dark Thirty,5200000,86300000,4200000,95700000,11 Jan 2013,2012,0,204200,7.4,R,157,95,,,,,,,,Mark Boal,"Jason Clarke, Reda Kateb, Jessica Chastain, Kyle Chandler","English, Arabic",tt1790885,USA,Won 1 Oscar. Another 83 wins & 156 nominations.,"Drama, History, Thriller"
The Imitation Game,42800000,41100000,7200000,91100000,25 Dec 2014,2014,0,366245,8.1,PG-13,114,73,,,,,,,,"Graham Moore, Andrew Hodges (book)","Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear","English, German",tt2084970,"UK, USA",Won 1 Oscar. Another 43 wins & 138 nominations.,"Biography, Drama, Thriller"
Chicago,64600000,69400000,36700000,170700000,24 Jan 2003,2002,1,162325,7.2,PG-13,113,82,,,,,,,,"Bill Condon (screenplay), Bob Fosse (book), Fred Ebb (book), Maurine Dallas Watkins (play)","Taye Diggs, Cliff Saunders, Catherine Zeta-Jones, Renée Zellweger","English, Hungarian",tt0299658,"USA, Germany, Canada",Won 6 Oscars. Another 45 wins & 98 nominations.,"Comedy, Crime, Musical"
Moulin Rouge!,57100000,212000,39900,57400000,01 Jun 2001,2001,0,213540,7.7,PG-13,127,66,,,,,,,,"Baz Luhrmann, Craig Pearce","Nicole Kidman, Ewan McGregor, John Leguizamo, Jim Broadbent","English, French, Spanish",tt0203009,"USA, Australia",Won 2 Oscars. Another 79 wins & 118 nominations.,"Drama, Musical, Romance"
Babel,23800000,10000000,497000,34300000,10 Nov 2006,2006,0,230802,7.5,R,143,69,,,,,,,,"Guillermo Arriaga, Guillermo Arriaga (idea), Alejandro González Iñárritu (idea)","Brad Pitt, Cate Blanchett, Mohamed Akhzam, Peter Wight","English, Arabic, Spanish, Japanese, Berber languages, French, Russian, Japanese Sign Language",tt0449467,"France, USA, Mexico",Won 1 Oscar. Another 40 wins & 114 nominations.,Drama
Black Swan,83700000,19800000,3400000,107000000,17 Dec 2010,2010,0,515022,8,R,108,79,,,,,,,,"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)","Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey","English, French, Italian",tt0947798,USA,Won 1 Oscar. Another 86 wins & 229 nominations.,"Drama, Thriller"
The Fugitive,179400000,4400000,89000,183900000,06 Aug 1993,1993,0,201806,7.8,PG-13,130,88,,,,,,,,"Jeb Stuart (screenplay), David Twohy (screenplay), David Twohy (story), Roy Huggins (characters)","Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore","English, Polish, Spanish",tt0106977,USA,Won 1 Oscar. Another 11 wins & 25 nominations.,"Action, Adventure, Crime"
The Piano,25700000,8500000,5200000,40200000,11 Feb 1994,1993,0,60693,7.6,R,121,89,,,,,,,,Jane Campion,"Holly Hunter, Harvey Keitel, Sam Neill, Anna Paquin","English, British Sign Language, Maori",tt0107822,"New Zealand, Australia, France",Won 3 Oscars. Another 56 wins & 41 nominations.,"Drama, Music, Romance"
True Grit,138500000,28600000,4100000,171200000,22 Dec 2010,2010,0,225055,7.7,PG-13,110,80,,,,,,,,"Joel Coen (screenplay), Ethan Coen (screenplay), Charles Portis (novel)","Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin",English,tt1403865,USA,Nominated for 10 Oscars. Another 36 wins & 145 nominations.,"Adventure, Drama, Western"
Kiss of the Spider Woman,13100000,2000000,1900000,17000000,26 Jul 1985,1985,0,10173,7.4,R,120,80,,,,,,,,"Manuel Puig (based on the novel by), Leonard Schrader","William Hurt, Raul Julia, Sonia Braga, José Lewgoy","English, French, Portuguese, German",tt0089424,"Brazil, USA",Won 1 Oscar. Another 10 wins & 11 nominations.,Drama
Inglourious Basterds,120500000,0,0,120500000,21 Aug 2009,2009,0,780885,8.3,R,153,69,,,,,,,,Quentin Tarantino,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth","English, German, French, Italian",tt0361748,"USA, Germany",Won 1 Oscar. Another 115 wins & 136 nominations.,"Adventure, Drama, War"
Hope and Glory,5200000,4500000,314000,10000000,01 Nov 1987,1987,0,9382,7.4,PG-13,113,N/A,,,,,,,,John Boorman,"Sebastian Rice-Edwards, Geraldine Muir, Sarah Miles, David Hayman",English,tt0093209,"UK, USA",Nominated for 5 Oscars. Another 16 wins & 24 nominations.,"Comedy, Drama, Romance"
The Prince of Tides,59300000,12000000,3500000,74800000,25 Dec 1991,1991,0,11975,6.6,R,132,N/A,,,,,,,,"Pat Conroy (novel), Pat Conroy (screenplay), Becky Johnston (screenplay)","Nick Nolte, Barbra Streisand, Blythe Danner, Kate Nelligan",English,tt0102713,USA,Nominated for 7 Oscars. Another 3 wins & 10 nominations.,Drama
Missing,14000000,0,0,14000000,12 Mar 1982,1982,0,12786,7.8,R,122,N/A,,,,,,,,"Costa-Gavras (screenplay), Donald Stewart (screenplay), Thomas Hauser (based on the book: ""Missing"")","Jack Lemmon, Sissy Spacek, Melanie Mayron, John Shea","English, Spanish",tt0084335,USA,Won 1 Oscar. Another 9 wins & 17 nominations.,"Drama, History, Mystery"
Moonstruck,25400000,34600000,20700000,80600000,15 Jan 1988,1987,0,33350,7.1,PG,102,83,,,,,,,,John Patrick Shanley,"Cher, Nicolas Cage, Vincent Gardenia, Olympia Dukakis","English, Italian",tt0093565,USA,Won 3 Oscars. Another 15 wins & 18 nominations.,"Comedy, Drama, Romance"
The Blind Side,238100000,12300000,5500000,256000000,20 Nov 2009,2009,0,204311,7.7,PG-13,129,53,,,,,,,,"John Lee Hancock, Michael Lewis (book)","Sandra Bullock, Tim McGraw, Quinton Aaron, Jae Head",English,tt0878804,USA,Won 1 Oscar. Another 7 wins & 28 nominations.,"Biography, Drama, Sport"
Beauty and the Beast,106600000,19000000,20300000,145900000,22 Nov 1991,1991,0,279159,8,G,84,N/A,,,,,,,,"Linda Woolverton (animation screenplay), Roger Allers (story), Brenda Chapman (story), Burny Mattinson (story), Brian Pimental (story), Joe Ranft (story), Kelly Asbury (story), Chris Sanders (story), Kevin Harkey (story), Bruce Woodside (story), Robert Lence (story)","Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury","English, French",tt0101414,USA,Won 2 Oscars. Another 22 wins & 20 nominations.,"Animation, Family, Fantasy"
