Title,Win,Oscar,Prod Budget,Gross Domestic,Release Date
Killing Them Softly,0,0,15000000,15026056,"November 30, 2012"
Running Scared,0,0,15000000,6855137,"February 24, 2006"
The Hurt Locker,1,1,15000000,17017811,"June 26, 2009"
The Company Men,0,0,15000000,4441272,"January 21, 2011"
The Muse,0,0,15000000,11614954,"August 27, 1999"
The Company,0,0,15000000,2283914,"December 25, 2003"
Halloween II (2009),0,0,15000000,33392973,"August 28, 2009"
The Forsaken,0,0,15000000,7288451,"April 27, 2001"
Solitary Man,0,0,15000000,4360548,"May 21, 2010"
All the Queen's Men,0,0,15000000,23662,"October 25, 2002"
Match Point,0,0,15000000,23151529,"December 28, 2005"
Drop Dead Gorgeous,0,0,15000000,10571408,"July 23, 1999"
The Artist,1,1,15000000,44671682,"November 25, 2011"
"Lust, Caution",0,0,15000000,4604982,"September 28, 2007"
Flicka,0,0,15000000,21000147,"October 20, 2006"
My Bloody Valentine 3-D,0,0,15000000,51545952,"January 16, 2009"
All About the Benjamins,0,0,15000000,25916319,"March 8, 2002"
The Theory of Everything,0,1,15000000,35893537,"November 7, 2014"
The King's Speech,1,1,15000000,135453143,"November 26, 2010"
Slither,0,0,15000000,7802450,"March 31, 2006"
The Hills Have Eyes 2,0,0,15000000,20804166,"March 23, 2007"
The Yellow Handkerchief,0,0,15500000,318623,"February 26, 2010"
Ararat,0,0,15500000,1555959,"November 15, 2002"
The Messengers,0,0,16000000,35374833,"February 2, 2007"
A Mighty Heart,0,0,16000000,9176787,"June 22, 2007"
Sideways,0,1,16000000,71503593,"October 22, 2004"
Bones,0,0,16000000,7316658,"October 26, 2001"
Jennifer's Body,0,0,16000000,16204793,"September 18, 2009"
The Unborn (2009),0,0,16000000,42670410,"January 9, 2009"
Baby Boy,0,0,16000000,28734552,"June 27, 2001"
Moonrise Kingdom,0,0,16000000,45512466,"May 25, 2012"
Company Man,0,0,16000000,146193,"March 9, 2001"
Soul Plane,0,0,16000000,14190750,"May 28, 2004"
White Oleander,0,0,16000000,16357770,"October 11, 2002"
Varsity Blues,0,0,16000000,52894169,"January 15, 1999"
People Like Us,0,0,16000000,12434778,"June 29, 2012"
The Women (2008),0,0,16000000,26902075,"September 12, 2008"
On the Line,0,0,16000000,4365455,"October 26, 2001"
Remember Me,0,0,16000000,19068240,"March 12, 2010"
Left Behind (2014),0,0,16000000,14019924,"October 3, 2014"
The Thirteenth Floor,0,0,16000000,11916661,"May 28, 1999"
The Roommate,0,0,16000000,37300107,"February 4, 2011"
Enter the Void,0,0,16000000,336467,"September 24, 2010"
The Master of Disguise,0,0,16000000,40388794,"August 2, 2002"
Road Trip,0,0,16000000,68540777,"May 19, 2000"
The Lookout,0,0,16000000,4600585,"March 30, 2007"
How to Deal,0,0,16000000,14195227,"July 18, 2003"
The Illusionist,0,0,16500000,39868642,"August 18, 2006"
House of Sand and Fog,0,0,16500000,13040288,"December 19, 2003"
Brooklyn's Finest,0,0,17000000,27163593,"March 5, 2010"
Lottery Ticket,0,0,17000000,24719879,"August 20, 2010"
American Dreamz,0,0,17000000,7191830,"April 21, 2006"
Midnight in Paris,0,1,17000000,56817045,"May 20, 2011"
The Others,0,0,17000000,96522687,"August 10, 2001"
The Best Man Holiday,0,0,17000000,70525195,"November 15, 2013"
Soul Survivors,0,0,17000000,3111545,"September 7, 2001"
Jeepers Creepers 2,0,0,17000000,35667218,"August 29, 2003"
The Apparition,0,0,17000000,4936819,"August 24, 2012"
Let's Be Cops,0,0,17000000,82390774,"August 13, 2014"
Pitch Perfect,0,0,17000000,65001093,"September 28, 2012"
The Lizzie McGuire Movie,0,0,17000000,42734455,"May 2, 2003"
Mean Girls,0,0,17000000,86058055,"April 30, 2004"
The Illusionist (2010),0,0,17000000,2231474,"December 25, 2010"
Veronica Guerin,0,0,17000000,1571504,"October 17, 2003"
Evil Dead (2013),0,0,17000000,54239856,"April 5, 2013"
Smokin' Aces,0,0,17000000,35787686,"January 26, 2007"
Away We Go,0,0,17000000,9451946,"June 5, 2009"
Beastly,0,0,17000000,27865571,"March 4, 2011"
Black Nativity,0,0,17500000,7018189,"November 27, 2013"
Joe Dirt,0,0,17700000,27087695,"April 11, 2001"
The Family Stone,0,0,18000000,60062868,"December 16, 2005"
Fame (2009),0,0,18000000,22455510,"September 25, 2009"
Labor Day,0,0,18000000,13371528,"January 31, 2014"
John Tucker Must Die,0,0,18000000,41011711,"July 28, 2006"
Under the Tuscan Sun,0,0,18000000,43610723,"September 26, 2003"
127 Hours,0,1,18000000,18335230,"November 5, 2010"
Carlos,0,0,18000000,145526,"October 15, 2010"
Observe and Report,0,0,18000000,24007324,"April 10, 2009"
One Night at McCool's,0,0,18000000,6290673,"April 27, 2001"
Love Happens,0,0,18000000,22965110,"September 18, 2009"
The White Ribbon,0,0,18000000,2222862,"December 30, 2009"
Birdman,1,1,18000000,42340598,"October 17, 2014"
The Mist,0,0,18000000,25594957,"November 21, 2007"
Youth in Revolt,0,0,18000000,15281286,"January 8, 2010"
Renaissance,0,0,18000000,70644,"September 22, 2006"
Legally Blonde,0,0,18000000,96520674,"July 13, 2001"
I Love You Beth Cooper,0,0,18000000,14800725,"July 10, 2009"
Good Boy!,0,0,18000000,37667746,"October 10, 2003"
The Last Station,0,0,18000000,6617867,"January 15, 2010"
Just Married,0,0,18000000,56127162,"January 10, 2003"
Price of Glory,0,0,18000000,3440228,"March 31, 2000"
Soul Surfer,0,0,18000000,43853424,"April 8, 2011"
Neighbors,0,0,18000000,150157400,"May 9, 2014"
Titanic 3D,0,0,18000000,57884114,"April 4, 2012"
Getaway (2013),0,0,18000000,10501938,"August 30, 2013"
Mongol,0,0,18000000,5705761,"June 6, 2008"
Anything Else,0,0,18000000,3212310,"September 19, 2003"
Honey,0,0,18000000,30308417,"December 5, 2003"
The Fog (2005),0,0,18000000,29550869,"October 14, 2005"
The Invention of Lying,0,0,18500000,18451251,"October 2, 2009"
Vacancy,0,0,19000000,19363565,"April 20, 2007"
Without a Paddle,0,0,19000000,58169327,"August 20, 2004"
Friday the 13th (2009),0,0,19000000,65002019,"February 13, 2009"
Gone Baby Gone,0,0,19000000,20300218,"October 19, 2007"
Adaptation.,0,0,19000000,22498520,"December 6, 2002"
Pan's Labyrinth,0,0,19000000,37634615,"December 29, 2006"
A Cinderella Story,0,0,19000000,51438175,"July 16, 2004"
Scary Movie,0,0,19000000,157019771,"July 7, 2000"
Sex Drive,0,0,19000000,8402485,"October 17, 2008"
Leap Year,0,0,19000000,25918920,"January 8, 2010"
Letters from Iwo Jima,0,1,19000000,13756082,"December 20, 2006"
The Switch,0,0,19000000,27779426,"August 20, 2010"
The Devil's Double,0,0,19100000,1361512,"July 29, 2011"
Gosford Park,0,1,19800000,41308615,"December 26, 2001"
The Crazies,0,0,20000000,39123589,"February 26, 2010"
Middle Men,0,0,20000000,754301,"August 6, 2010"
An American Carol,0,0,20000000,7013191,"October 3, 2008"
Date Movie,0,0,20000000,48548426,"February 17, 2006"
Undisputed,0,0,20000000,12764657,"August 23, 2002"
Uptown Girls,0,0,20000000,37182494,"August 15, 2003"
The Tempest,0,0,20000000,277943,"December 10, 2010"
How High,0,0,20000000,31178740,"December 21, 2001"
Endless Love (2014),0,0,20000000,23438250,"February 14, 2014"
Boogeyman,0,0,20000000,46752382,"February 4, 2005"
The Conjuring,0,0,20000000,137400141,"July 19, 2013"
ATL,0,0,20000000,21170563,"March 31, 2006"
The Jungle Book 2,0,0,20000000,47901582,"February 14, 2003"
Vampires Suck,0,0,20000000,36661504,"August 18, 2010"
Mr. Brooks,0,0,20000000,28549298,"June 1, 2007"
Never Back Down,0,0,20000000,24850922,"March 14, 2008"
I Heart Huckabees,0,0,20000000,12785432,"October 1, 2004"
Goodbye Lover,0,0,20000000,1940299,"April 16, 1999"
Let Me In,0,0,20000000,12134935,"October 1, 2010"
Jackass 3-D,0,0,20000000,117229692,"October 15, 2010"
Max (2015),0,0,20000000,42656255,"June 26, 2015"
Doubt,0,0,20000000,33446470,"December 12, 2008"
Reign Over Me,0,0,20000000,19661987,"March 23, 2007"
Willard,0,0,20000000,6886089,"March 14, 2003"
The Debt,0,0,20000000,31177548,"August 31, 2011"
Scary Movie 5,0,0,20000000,32015787,"April 12, 2013"
Trance,0,0,20000000,2328743,"April 5, 2013"
Kung Fu Hustle,0,0,20000000,17108591,"April 8, 2005"
The Love Letter,0,0,20000000,8302478,"May 21, 1999"
Superbad,0,0,20000000,121463226,"August 17, 2007"
Tammy,0,0,20000000,84525432,"July 2, 2014"
Milk,0,1,20000000,31841299,"November 26, 2008"
Drumline,0,0,20000000,56399184,"December 13, 2002"
John Wick,0,0,20000000,43037835,"October 24, 2014"
Return to Never Land,0,0,20000000,48430258,"February 15, 2002"
Freaky Friday,0,0,20000000,110230332,"August 6, 2003"
Pooh's Heffalump Movie,0,0,20000000,18098433,"February 11, 2005"
A Guy Thing,0,0,20000000,15545431,"January 17, 2003"
Street Kings,0,0,20000000,26418667,"April 11, 2008"
Lockout,0,0,20000000,14326864,"April 13, 2012"
Loser,0,0,20000000,15618626,"July 21, 2000"
Daybreakers,0,0,20000000,30101577,"January 8, 2010"
Prom Night (2008),0,0,20000000,43869350,"April 11, 2008"
Fired Up,0,0,20000000,17231291,"February 20, 2009"
Proof,0,0,20000000,7535331,"September 16, 2005"
Three to Tango,0,0,20000000,10570375,"October 22, 1999"
Appaloosa,0,0,20000000,20211394,"September 19, 2008"
Birth,0,0,20000000,5095038,"October 29, 2004"
The Stepfather (2009),0,0,20000000,29062561,"October 16, 2009"
Lakeview Terrace,0,0,20000000,39263506,"September 19, 2008"
Dead Silence,0,0,20000000,16809076,"March 16, 2007"
One Missed Call,0,0,20000000,26890041,"January 4, 2008"
You Again,0,0,20000000,25702053,"September 24, 2010"
Armored,0,0,20000000,15988876,"December 4, 2009"
Saw 3D,0,0,20000000,45710178,"October 29, 2010"
She's the Man,0,0,20000000,33741133,"March 17, 2006"
Disaster Movie,0,0,20000000,14190901,"August 29, 2008"
Ghost Ship,0,0,20000000,30113491,"October 25, 2002"
21 Grams,0,0,20000000,16290476,"November 21, 2003"
"Synecdoche, New York",0,0,20000000,3083538,"October 24, 2008"
Holes,0,0,20000000,67406573,"April 18, 2003"
Notorious (2009),0,0,20000000,36843682,"January 16, 2009"
Disturbia,0,0,20000000,80209692,"April 13, 2007"
12 Years a Slave,1,1,20000000,56671993,"October 18, 2013"
Love & Basketball,0,0,20000000,27459615,"April 21, 2000"
Playing by Heart,0,0,20000000,3970078,"January 1, 1999"
The Game of Their Lives,0,0,20000000,375750,"April 22, 2005"
My Best Friend's Girl,0,0,20000000,19219250,"September 19, 2008"
She's Out of My League,0,0,20000000,32010860,"March 12, 2010"
Go,0,0,20000000,16943454,"April 9, 1999"
The Grudge 2,0,0,20000000,39143839,"October 13, 2006"
Chasing Mavericks,0,0,20000000,6002756,"October 26, 2012"
One Night with the King,0,0,20000000,13395961,"October 13, 2006"
Alone in the Dark,0,0,20000000,5178569,"January 28, 2005"
Monte Carlo,0,0,20000000,23186769,"July 1, 2011"
Bad Teacher,0,0,20000000,100292856,"June 24, 2011"
Marci X,0,0,20000000,1648818,"August 22, 2003"
The Contender,0,0,20000000,17872723,"October 13, 2000"
Ghost Town,0,0,20000000,13367624,"September 19, 2008"
Battle of the Year,0,0,20000000,8888355,"September 20, 2013"
Premonition,0,0,20000000,47852604,"March 16, 2007"
Obsessed,0,0,20000000,68261644,"April 24, 2009"
The Last Song,0,0,20000000,62950384,"March 31, 2010"
What's Your Number?,0,0,20000000,14011084,"September 30, 2011"
The World's End,0,0,20000000,26004851,"August 23, 2013"
Selma,0,1,20000000,52076908,"December 25, 2014"
Boat Trip,0,0,20000000,8600126,"March 21, 2003"
Not Fade Away,0,0,20000000,610792,"December 21, 2012"
The American,0,0,20000000,35606376,"September 1, 2010"
The Last Kiss (2006),0,0,20000000,11614790,"September 15, 2006"
Pulse,0,0,20500000,20264436,"August 11, 2006"
Freedom Writers,0,0,21000000,36605602,"January 5, 2007"
We Own the Night,0,0,21000000,28563179,"October 12, 2007"
Duets,0,0,21000000,4739023,"September 15, 2000"
Silver Linings Playbook,0,1,21000000,132092958,"November 16, 2012"
Swing Vote,0,0,21000000,16289867,"August 1, 2008"
Moonlight Mile,0,0,21000000,6835856,"September 27, 2002"
Black Book,0,0,21000000,4398532,"April 4, 2007"
The Beaver,0,0,21000000,970816,"May 6, 2011"
The Transporter,0,0,21000000,25296447,"October 11, 2002"
Everybody's Fine,0,0,21000000,9208876,"December 4, 2009"
The Royal Tenenbaums,0,0,21000000,52364010,"December 14, 2001"
The Tailor of Panama,0,0,21000000,13729742,"March 30, 2001"
Molly,0,0,21000000,17650,"October 22, 1999"
For Colored Girls,0,0,21000000,37729698,"November 5, 2010"
Open Range,0,0,22000000,58331254,"August 15, 2003"
Underworld,0,0,22000000,51970690,"September 19, 2003"
Homefront,0,0,22000000,20158898,"November 27, 2013"
The Prince and Me,0,0,22000000,28176497,"April 2, 2004"
The Weather Man,0,0,22000000,12482775,"October 28, 2005"
Derailed,0,0,22000000,36024076,"November 11, 2005"
Out of the Furnace,0,0,22000000,11330849,"December 4, 2013"
The Hundred-Foot Journey,0,0,22000000,54240821,"August 8, 2014"
Glitter,0,0,22000000,4274407,"September 21, 2001"
Steamboy,0,0,22000000,468867,"March 18, 2005"
Stone,0,0,22000000,1810078,"October 8, 2010"
Get Over It,0,0,22000000,11576464,"March 9, 2001"
The Rookie,0,0,22000000,75600072,"March 29, 2002"
The Informant!,0,0,22000000,33316821,"September 18, 2009"
Summer of Sam,0,0,22000000,19288130,"July 2, 1999"
Saving Silverman,0,0,22000000,19402030,"February 9, 2001"
Prime,0,0,22000000,22827153,"October 28, 2005"
Traitor,0,0,22000000,23530831,"August 27, 2008"
Fair Game (2010),0,0,22000000,9540691,"November 5, 2010"
The Water Diviner,0,0,22500000,4196641,"April 24, 2015"
Dr. T and the Women,0,0,23000000,13113041,"October 13, 2000"
Anywhere But Here,0,0,23000000,18670401,"November 12, 1999"
Pitch Black,0,0,23000000,39240659,"February 18, 2000"
Vanity Fair,0,0,23000000,16136476,"September 1, 2004"
Chasing Liberty,0,0,23000000,12195626,"January 9, 2004"
Her (2013),0,0,23000000,25568251,"December 18, 2013"
The Wedding Ringer,0,0,23000000,64460211,"January 16, 2015"
Haywire,0,0,23000000,18942396,"January 20, 2012"
Final Destination,0,0,23000000,53331147,"March 17, 2000"
The End of the Affair,0,0,23000000,10827816,"December 3, 1999"
Cheri,0,0,23000000,2715657,"June 26, 2009"
Joy Ride,0,0,23000000,21974919,"October 5, 2001"
Coco Before Chanel,0,0,23000000,6113834,"September 25, 2009"
Accepted,0,0,23000000,36323505,"August 18, 2006"
Someone Like You,0,0,23000000,27343067,"March 30, 2001"
Bad Santa,0,0,23000000,60060328,"November 26, 2003"
Zombieland,0,0,23600000,75590286,"October 2, 2009"
The Cider House Rules,0,1,24000000,57545092,"December 10, 1999"
Footloose (2011),0,0,24000000,51802742,"October 14, 2011"
Old School,0,0,24000000,75585093,"February 21, 2003"
Faster,0,0,24000000,23240020,"November 24, 2010"
Think Like a Man Too,0,0,24000000,65182182,"June 20, 2014"
The Ladies Man,0,0,24000000,13616610,"October 13, 2000"
Ready to Rumble,0,0,24000000,12394327,"April 7, 2000"
Return to Me,0,0,24000000,32722798,"April 7, 2000"
Biker Boyz,0,0,24000000,22076772,"January 31, 2003"
The Yards,0,0,24000000,889352,"October 20, 2000"
Out Cold,0,0,24000000,13906394,"November 21, 2001"
Play It to the Bone,0,0,24000000,8434146,"December 25, 1999"
Rocky Balboa,0,0,24000000,70270943,"December 20, 2006"
Gossip,0,0,24000000,5108820,"April 21, 2000"
The In Crowd,0,0,24000000,5280035,"July 21, 2000"
Piranha 3D,0,0,24000000,25003155,"August 20, 2010"
Muppets from Space,0,0,24000000,16625807,"July 14, 1999"
The Road,0,0,25000000,8117000,"November 25, 2009"
Max Keeble's Big Move,0,0,25000000,17294293,"October 5, 2001"
The Sitter,0,0,25000000,30441326,"December 9, 2011"
Ride Along,0,0,25000000,134938200,"January 17, 2014"
Small Time Crooks,0,0,25000000,17266359,"May 19, 2000"
La Vie en Rose,0,0,25000000,10301706,"June 8, 2007"
Mystic River,0,1,25000000,90135191,"October 8, 2003"
The Corruptor,0,0,25000000,15164492,"March 12, 1999"
The Grey,0,0,25000000,51580236,"January 27, 2012"
Unaccompanied Minors,0,0,25000000,16655224,"December 8, 2006"
The Help,0,1,25000000,169708112,"August 10, 2011"
My Soul to Take,0,0,25000000,14744435,"October 8, 2010"
The King and I (1999),0,0,25000000,11993021,"March 19, 1999"
1408,0,0,25000000,71985628,"June 22, 2007"
Me and Orson Welles,0,0,25000000,1190003,"November 25, 2009"
Warrior,0,0,25000000,13657115,"September 9, 2011"
The Losers,0,0,25000000,23591432,"April 23, 2010"
Cradle 2 the Grave,0,0,25000000,34712347,"February 28, 2003"
Election,0,0,25000000,14902041,"April 23, 1999"
The Fighter,0,1,25000000,93617009,"December 10, 2010"
The Counselor,0,0,25000000,16973715,"October 25, 2013"
The Wild Thornberrys,0,0,25000000,40108697,"December 20, 2002"
Eurotrip,0,0,25000000,17771387,"February 20, 2004"
Nanny McPhee,0,0,25000000,47144110,"January 27, 2006"
The Next Best Thing,0,0,25000000,14990582,"March 3, 2000"
Blindness,0,0,25000000,3351751,"October 3, 2008"
Blue Crush,0,0,25000000,40390647,"August 16, 2002"
Romeo Must Die,0,0,25000000,55973336,"March 22, 2000"
Never Been Kissed,0,0,25000000,55474756,"April 9, 1999"
Love Ranch,0,0,25000000,137885,"June 30, 2010"
Igor,0,0,25000000,19528602,"September 19, 2008"
The Honeymooners,0,0,25000000,12843849,"June 10, 2005"
Kiss of the Dragon,0,0,25000000,36845124,"July 6, 2001"
Rugrats Go Wild,0,0,25000000,39402572,"June 13, 2003"
What a Girl Wants,0,0,25000000,36105433,"April 4, 2003"
The Hoax,0,0,25000000,7164995,"April 6, 2007"
Brokedown Palace,0,0,25000000,10115013,"August 13, 1999"
BloodRayne,0,0,25000000,2405420,"January 6, 2006"
There Will Be Blood,0,1,25000000,40222514,"December 26, 2007"
Godsend,0,0,25000000,14379751,"April 30, 2004"
Taxi,0,0,25000000,36611066,"October 6, 2004"
Final Destination 3,0,0,25000000,54098051,"February 10, 2006"
Shark Night 3D,0,0,25000000,18877153,"September 2, 2011"
The Giver,0,0,25000000,45090374,"August 15, 2014"
The Gambler,0,0,25000000,33680992,"December 25, 2014"
The Eagle,0,0,25000000,19490041,"February 11, 2011"
Idle Hands,0,0,25000000,4152230,"April 30, 1999"
Dear John,0,0,25000000,80014842,"February 5, 2010"
Dance Flick,0,0,25000000,25662155,"May 22, 2009"
Cloverfield,0,0,25000000,80048433,"January 18, 2008"
Cellular,0,0,25000000,32003620,"September 10, 2004"
Say It Isn't So,0,0,25000000,5520393,"March 23, 2001"
Straw Dogs (2011),0,0,25000000,10324441,"September 16, 2011"
Bridget Jones's Diary,0,0,25000000,71543427,"April 13, 2001"
Finding Neverland,0,1,25000000,51680613,"November 12, 2004"
Frost/Nixon,0,1,25000000,18622031,"December 5, 2008"
Chocolat,0,1,25000000,71509363,"December 15, 2000"
Up in the Air,0,1,25000000,83823381,"December 4, 2009"
Fly Me to the Moon,0,0,25000000,13816982,"August 15, 2008"
Contraband,0,0,25000000,66528000,"January 13, 2012"
The Omen (2006),0,0,25000000,54607383,"June 6, 2006"
Lords of Dogtown,0,0,25000000,11273517,"June 3, 2005"
No Strings Attached,0,0,25000000,70662220,"January 21, 2011"
Catch and Release,0,0,25000000,15539051,"January 26, 2007"
The House Bunny,0,0,25000000,48237389,"August 22, 2008"
October Sky,0,0,25000000,32547800,"February 19, 1999"
Million Dollar Arm,0,0,25000000,36457627,"May 16, 2014"
Parental Guidance,0,0,25000000,77267296,"December 25, 2012"
The Constant Gardener,0,0,25000000,33579797,"August 31, 2005"
Under Suspicion,0,0,25000000,260562,"September 22, 2000"
Taken,0,0,25000000,145000989,"January 30, 2009"
Where the Truth Lies,0,0,25000000,872142,"October 7, 2005"
Stop-Loss,0,0,25000000,10915744,"March 28, 2008"
Abandon,0,0,25000000,10727683,"October 18, 2002"
The Hours,0,1,25000000,41675994,"December 27, 2002"
The Conspirator,0,0,25000000,11538204,"April 15, 2011"
W.,0,0,25100000,25534493,"October 17, 2008"
Legion (2010),0,0,26000000,40168080,"January 22, 2010"
The Raven,0,0,26000000,16008272,"April 27, 2012"
Case 39,0,0,26000000,13261851,"October 1, 2010"
Dawn of the Dead,0,0,26000000,59020957,"March 19, 2004"
Clockstoppers,0,0,26000000,36989956,"March 29, 2002"
The 40-Year-Old Virgin,0,0,26000000,109449237,"August 19, 2005"
The Best of Me,0,0,26000000,26766213,"October 17, 2014"
Red Eye,0,0,26000000,57891803,"August 19, 2005"
Delivery Man,0,0,26000000,30664106,"November 22, 2013"
Brothers,0,0,26000000,28544157,"December 4, 2009"
Redline,0,0,26000000,6881022,"April 13, 2007"
Self/Less,0,0,26000000,12279691,"July 10, 2015"
Little Children,0,0,26000000,5463019,"October 6, 2006"
The Princess Diaries,0,0,26000000,108248956,"August 3, 2001"
Pain and Gain,0,0,26000000,49875291,"April 26, 2013"
Closer,0,0,27000000,33987757,"December 3, 2004"
Connie and Carla,0,0,27000000,8085771,"April 16, 2004"
Limitless,0,0,27000000,79249455,"March 18, 2011"
Suspect Zero,0,0,27000000,8725813,"August 27, 2004"
Music of the Heart,0,0,27000000,14859394,"October 29, 1999"
Formula 51,0,0,27000000,5204007,"October 18, 2002"
Life as a House,0,0,27000000,15667270,"October 26, 2001"
Sugar & Spice,0,0,27000000,13305101,"January 26, 2001"
Pineapple Express,0,0,27000000,87341380,"August 6, 2008"
The Statement,0,0,27000000,765637,"December 12, 2003"
Brick Mansions,0,0,28000000,20396829,"April 25, 2014"
3 Days to Kill,0,0,28000000,30697999,"February 21, 2014"
Where the Money Is,0,0,28000000,5661798,"April 14, 2000"
Identity,0,0,28000000,52159536,"April 25, 2003"
"Mystery, Alaska",0,0,28000000,8891623,"October 1, 1999"
Walk the Line,0,0,28000000,119519402,"November 18, 2005"
Kick-Ass 2,0,0,28000000,28795985,"August 16, 2013"
Role Models,0,0,28000000,67294270,"November 7, 2008"
The Fifth Estate,0,0,28000000,3255008,"October 18, 2013"
Agent Cody Banks,0,0,28000000,47938330,"March 14, 2003"
The Spy Next Door,0,0,28000000,24307086,"January 15, 2010"
Bring It On,0,0,28000000,68379000,"August 25, 2000"
Zoolander,0,0,28000000,45172250,"September 28, 2001"
Last Vegas,0,0,28000000,63914167,"November 1, 2013"
American Ultra,0,0,28000000,14440985,"August 21, 2015"
Safe Haven,0,0,28000000,71349120,"February 14, 2013"
30 Minutes or Less,0,0,28000000,37053924,"August 12, 2011"
Serving Sara,0,0,29000000,16930185,"August 23, 2002"
Center Stage,0,0,29000000,17200925,"May 12, 2000"
Valentine,0,0,29000000,20384136,"February 2, 2001"
Brotherhood of the Wolf,0,0,29000000,11260096,"January 11, 2002"
The Notebook,0,0,29000000,81001787,"June 25, 2004"
Pitch Perfect 2,0,0,29000000,183785415,"May 15, 2015"
The Blind Side,0,1,29000000,255959475,"November 20, 2009"
Keeping the Faith,0,0,29000000,37047880,"April 14, 2000"
Stigmata,0,0,29000000,50046268,"September 10, 1999"
Side Effects,0,0,30000000,2216,"September 9, 2005"
Southpaw,0,0,30000000,52421953,"July 24, 2015"
Love and Other Drugs,0,0,30000000,32367005,"November 24, 2010"
Ultraviolet,0,0,30000000,18535812,"March 3, 2006"
The Box,0,0,30000000,15051977,"November 6, 2009"
Anonymous,0,0,30000000,4463292,"October 28, 2011"
The Family (2013),0,0,30000000,36918811,"September 13, 2013"
My Sister's Keeper,0,0,30000000,49200230,"June 26, 2009"
The Fighting Temptations,0,0,30000000,30250745,"September 19, 2003"
Friday Night Lights,0,0,30000000,61255921,"October 8, 2004"
New York Minute,0,0,30000000,14071441,"May 7, 2004"
The Tigger Movie,0,0,30000000,45554533,"February 11, 2000"
Machine Gun Preacher,0,0,30000000,538690,"September 23, 2011"
Runner Runner,0,0,30000000,19316646,"October 4, 2013"
Entourage,0,0,30000000,32363404,"June 3, 2015"
Carrie (2013),0,0,30000000,35266619,"October 18, 2013"
An Unfinished Life,0,0,30000000,8586392,"September 9, 2005"
The Quiet American,0,0,30000000,12988801,"November 22, 2002"
Lee Daniels' The Butler,0,0,30000000,116632095,"August 16, 2013"
Knocked Up,0,0,30000000,148768917,"June 1, 2007"
Bride Wars,0,0,30000000,58715510,"January 9, 2009"
The Human Stain,0,0,30000000,5381908,"October 31, 2003"
Fever Pitch,0,0,30000000,42071069,"April 8, 2005"
Million Dollar Baby,1,1,30000000,100492203,"December 15, 2004"
Fright Night (2011),0,0,30000000,18302607,"August 19, 2011"
Like Mike,0,0,30000000,51432760,"July 3, 2002"
Alex and Emma,0,0,30000000,14218698,"June 20, 2003"
Welcome to Mooseport,0,0,30000000,14470947,"February 20, 2004"
The Five-Year Engagement,0,0,30000000,28835528,"April 27, 2012"
Assault on Precinct 13,0,0,30000000,20040895,"January 19, 2005"
Luther,0,0,30000000,5791328,"September 26, 2003"
High Fidelity,0,0,30000000,27287137,"March 31, 2000"
Secondhand Lions,0,0,30000000,42070939,"September 19, 2003"
About a Boy,0,0,30000000,41385278,"May 17, 2002"
Unknown,0,0,30000000,63686397,"February 18, 2011"
The Watcher,0,0,30000000,28946615,"September 8, 2000"
About Schmidt,0,0,30000000,65016287,"December 13, 2002"
Sanctum,0,0,30000000,23209310,"February 4, 2011"
30 Days of Night,0,0,30000000,39568996,"October 19, 2007"
Pride & Glory,0,0,30000000,15740721,"October 24, 2008"
The Number 23,0,0,30000000,35193167,"February 23, 2007"
27 Dresses,0,0,30000000,76808654,"January 18, 2008"
Lost and Found (1999),0,0,30000000,6552255,"April 23, 1999"
Looper,0,0,30000000,66486205,"September 28, 2012"
Grey Owl,0,0,30000000,632617,"October 1, 1999"
Kill Bill Vol. 1,0,0,30000000,70099045,"October 10, 2003"
The New World,0,0,30000000,12712093,"December 25, 2005"
Freddy Vs. Jason,0,0,30000000,82622655,"August 15, 2003"
Gridiron Gang,0,0,30000000,38432823,"September 15, 2006"
A Lot Like Love,0,0,30000000,21845719,"April 22, 2005"
Cop Out,0,0,30000000,44875481,"February 26, 2010"
Kick-Ass,0,0,30000000,48071303,"April 16, 2010"
Drag Me to Hell,0,0,30000000,42100625,"May 29, 2009"
Oldboy (2013),0,0,30000000,2193658,"November 27, 2013"
The Vow,0,0,30000000,125014030,"February 10, 2012"
Trapped,0,0,30000000,7073251,"September 20, 2002"
Must Love Dogs,0,0,30000000,43894863,"July 29, 2005"
Stranger Than Fiction,0,0,30000000,40660952,"November 10, 2006"
In Dreams,0,0,30000000,12017369,"January 15, 1999"
Deliver Us From Evil,0,0,30000000,30577122,"July 2, 2014"
Splice,0,0,30000000,17010170,"June 4, 2010"
The Good Thief,0,0,30000000,3517797,"April 2, 2003"
Gloria,0,0,30000000,4197729,"January 22, 1999"
Impostor,0,0,30000000,6285176,"January 4, 2002"
Hanna,0,0,30000000,40259119,"April 8, 2011"
Larry Crowne,0,0,30000000,35608245,"July 1, 2011"
Eight Legged Freaks,0,0,30000000,17322606,"July 17, 2002"
Remember the Titans,0,0,30000000,115654751,"September 29, 2000"
The Glass House,0,0,30000000,18150259,"September 14, 2001"
Big Momma's House,0,0,30000000,117559438,"June 2, 2000"
Coach Carter,0,0,30000000,67264877,"January 14, 2005"
Wing Commander,0,0,30000000,11578059,"March 12, 1999"
P.S. I Love You,0,0,30000000,53695808,"December 21, 2007"
Letters to Juliet,0,0,30000000,53032453,"May 14, 2010"
Baby Mama,0,0,30000000,60494212,"April 25, 2008"
