Q1,NumTheaters,ProductionBudget,Q2,Nom,G,Title,Oscar,PG13,NC17,ReleaseDate,ReleaseLength,R,PG,Q4,Win,Rating,Unrated,Runtime,Q3,TotalBoxOffice
1,2622,8500000,0,0,0,The DUFF,0,1,0,"February 20, 2015",84,0,0,0,0,PG-13,0,101,0,34030343
0,2714,65000000,0,0,0,Mona Lisa Smile,0,1,0,"December 19, 2003",84,0,0,1,0,PG-13,0,117,0,63860942
0,3320,32000000,0,0,0,Transporter 2,0,1,0,"September 2, 2005",119,0,0,0,0,PG-13,0,88,1,43095856
0,3280,35000000,1,0,0,The Back-Up Plan,0,1,0,"April 23, 2010",91,0,0,0,0,PG-13,0,98,0,37490007
0,2629,60000000,0,0,0,Reign of Fire,0,1,0,"July 12, 2002",105,0,0,0,0,PG-13,0,109,1,43061982
0,2575,40000000,0,0,0,City by the Sea,0,0,0,"September 6, 2002",70,1,0,0,0,R,0,108,1,22448879
1,4,3000000,0,0,0,Every Day,0,0,0,"January 14, 2011",70,1,0,0,0,R,0,93,0,46029
0,44,2500000,1,0,0,The Mother,0,0,0,"May 28, 2004",168,1,0,0,0,R,0,112,0,1063163
0,217,10000000,1,0,0,The Joneses,0,0,0,"April 16, 2010",91,1,0,0,0,R,0,95,0,1475746
1,3230,35000000,0,0,0,Identity Thief,0,0,0,"February 8, 2013",119,1,0,0,0,R,0,111,0,134506920
1,2806,40000000,0,0,0,Paul,0,0,0,"March 18, 2011",63,1,0,0,0,R,0,100,0,37412945
0,76,6000000,1,0,0,Mickey,0,0,0,"April 30, 2004",42,0,1,0,0,PG,0,90,0,294758
0,2747,42000000,1,0,0,High Crimes,0,1,0,"April 5, 2002",140,0,0,0,0,PG-13,0,115,0,41543917
1,269,6000000,0,0,0,City Island,0,1,0,"March 19, 2010",168,0,0,0,0,PG-13,0,100,0,6671036
0,1355,16000000,1,0,0,A Mighty Heart,0,0,0,"June 22, 2007",63,1,0,0,0,R,0,108,0,9176787
0,3812,110000000,1,0,0,San Andreas,0,1,0,"May 29, 2015",140,0,0,0,0,PG-13,0,114,0,155190832
0,3515,80000000,0,0,0,Yogi Bear,0,0,0,"December 17, 2010",112,0,1,1,0,PG,0,82,0,100246011
0,3330,30000000,0,0,0,Lee Daniels' The Butler,0,1,0,"August 16, 2013",182,0,0,0,0,PG-13,0,132,1,116632095
1,3125,70000000,0,0,0,Fool's Gold,0,1,0,"February 8, 2008",112,0,0,0,0,PG-13,0,110,0,70231041
0,2738,16000000,0,0,0,Jennifer's Body,0,0,0,"September 18, 2009",70,1,0,0,0,R,0,102,1,16204793
0,3214,20000000,0,0,0,The Grudge 2,0,1,0,"October 13, 2006",35,0,0,1,0,PG-13,0,95,0,39143839
1,3365,54000000,0,0,0,V for Vendetta,0,0,0,"March 17, 2006",105,1,0,0,0,R,0,131,0,70511035
0,10,200000,0,0,0,Malevolence,0,0,0,"September 10, 2004",245,1,0,0,0,R,0,90,1,127287
0,888,30000000,0,0,0,An Unfinished Life,0,1,0,"September 9, 2005",42,0,0,0,0,PG-13,0,100,1,8586392
0,2610,21000000,0,0,0,The Transporter,0,1,0,"October 11, 2002",105,0,0,1,0,PG-13,0,92,0,25296447
0,2647,28000000,1,0,0,Brick Mansions,0,1,0,"April 25, 2014",70,0,0,0,0,PG-13,0,90,0,20396829
0,3701,110000000,0,0,0,The Bourne Ultimatum,0,1,0,"August 3, 2007",119,0,0,0,0,PG-13,0,111,1,227471070
0,1,425000,0,0,0,The Dogwalker (2002),0,0,0,"September 13, 2002",14,0,0,0,0,Unrated,1,105,1,7420
0,2594,75000000,0,0,0,Charlie Wilson's War,0,0,0,"December 21, 2007",77,1,0,1,0,R,0,97,0,66661095
1,350,14000000,0,0,0,Chloe,0,0,0,"March 26, 2010",112,1,0,0,0,R,0,96,0,3075255
1,3545,150000000,0,0,0,Wrath of the Titans,0,1,0,"March 30, 2012",91,0,0,0,0,PG-13,0,99,0,83670083
1,3611,130000000,0,0,0,Watchmen,0,0,0,"March 6, 2009",84,1,0,0,0,R,0,163,0,107509799
0,126,8000000,0,0,0,Restless (2011),0,1,0,"September 16, 2011",98,0,0,0,0,PG-13,0,91,1,163265
0,388,30000000,0,0,0,The Human Stain,0,0,0,"October 31, 2003",98,1,0,1,0,R,0,110,0,5381908
0,1117,20000000,0,0,0,Undisputed,0,0,0,"August 23, 2002",70,1,0,0,0,R,0,96,1,12764657
1,3181,56000000,0,0,0,The Pacifier,0,0,0,"March 4, 2005",133,0,1,0,0,PG,0,91,0,113086868
0,3528,180000000,0,0,0,The Golden Compass,0,1,0,"December 7, 2007",91,0,0,1,0,PG-13,0,113,0,70107728
0,56,9600000,1,0,0,The Lost City,0,0,0,"April 28, 2006",119,1,0,0,0,R,0,143,0,2484186
0,2881,80000000,0,0,0,The Haunting,0,1,0,"July 23, 1999",112,0,0,0,0,PG-13,0,113,1,91411151
0,2150,5000000,0,0,0,Clerks II,0,0,0,"July 21, 2006",70,1,0,0,0,R,0,97,1,24148068
0,177,15000000,1,0,0,Solitary Man,0,0,0,"May 21, 2010",140,1,0,0,0,R,0,90,0,4360548
0,2638,31000000,0,0,0,Flight,0,0,0,"November 2, 2012",105,1,0,1,0,R,0,139,0,93772375
0,1871,15000000,1,0,0,United 93,0,0,0,"April 28, 2006",70,1,0,0,0,R,0,90,0,31483450
1,3150,30000000,0,0,0,Cop Out,0,0,0,"February 26, 2010",84,1,0,0,0,R,0,110,0,44875481
0,2664,50000000,0,0,0,Dream House,0,1,0,"September 30, 2011",49,0,0,0,0,PG-13,0,92,1,21302340
0,3275,30000000,1,0,0,Fever Pitch,0,1,0,"April 8, 2005",126,0,0,0,0,PG-13,0,98,0,42071069
0,3167,10000000,0,0,0,Saw III,0,0,0,"October 27, 2006",49,1,0,1,0,R,0,107,0,80238724
0,2477,9000000,1,0,0,The Strangers,0,0,0,"May 30, 2008",56,1,0,0,0,R,0,107,0,52597610
0,3036,26000000,0,0,0,Delivery Man,0,1,0,"November 22, 2013",119,0,0,1,0,PG-13,0,105,0,30664106
1,2379,65000000,0,0,0,Zodiac,0,0,0,"March 2, 2007",63,1,0,0,0,R,0,156,0,33080084
1,2816,40000000,0,0,0,The Gunman,0,0,0,"March 20, 2015",42,1,0,0,0,R,0,115,0,10664749
0,231,5000000,0,0,0,Twelve,0,0,0,"August 6, 2010",14,1,0,0,0,R,0,98,1,183920
1,3223,95000000,0,0,0,The Road to El Dorado,0,0,0,"March 31, 2000",91,0,1,0,0,PG,0,99,0,50863742
0,3127,40000000,0,0,0,In Time,0,1,0,"October 28, 2011",98,0,0,1,0,PG-13,0,109,0,37520095
1,2655,60000000,0,0,0,Inkheart,0,0,0,"January 23, 2009",77,0,1,0,0,PG,0,106,0,17303424
1,2818,30000000,0,0,1,The Tigger Movie,0,0,0,"February 11, 2000",161,0,0,0,0,G,0,77,0,45554533
0,50,6500000,0,0,0,The Messenger,0,0,0,"November 13, 2009",182,1,0,1,0,R,0,105,0,1109660
1,2704,50000000,0,0,0,Twisted,0,0,0,"February 27, 2004",91,1,0,0,0,R,0,97,0,25198598
1,20,425000,0,0,0,The Home Teachers,0,0,0,"January 9, 2004",98,0,1,0,0,PG,0,81,0,203917
0,2727,18000000,1,0,0,Observe and Report,0,0,0,"April 10, 2009",70,1,0,0,0,R,0,106,0,24007324
1,3612,75000000,0,0,0,50 First Dates,0,1,0,"February 13, 2004",147,0,0,0,0,PG-13,0,96,0,120908074
0,2206,32000000,0,0,0,Takers,0,1,0,"August 27, 2010",84,0,0,0,0,PG-13,0,107,1,57744720
0,2867,80000000,0,0,0,The Manchurian Candidate,0,0,0,"July 30, 2004",112,1,0,0,0,R,0,130,1,65955630
0,3255,35000000,1,0,0,What Happens in Vegas,0,1,0,"May 9, 2008",133,0,0,0,0,PG-13,0,99,0,80277646
0,1,4500000,0,0,0,Art of Submission,0,1,0,"September 21, 2012",7,0,0,0,0,PG-13,0,119,1,9004
1,3188,14000000,0,0,0,Because of Winn-Dixie,0,0,0,"February 18, 2005",126,0,1,0,0,PG,0,106,0,32647042
0,1962,45000000,1,0,0,Unleashed,0,0,0,"May 13, 2005",63,1,0,0,0,R,0,103,0,24537621
0,13,8000000,0,0,0,Wild Target,0,1,0,"October 29, 2010",49,0,0,1,0,PG-13,0,98,0,108589
0,2752,25000000,0,0,0,The Sitter,0,0,0,"December 9, 2011",70,1,0,1,0,R,0,100,0,30441326
0,3058,110000000,1,0,0,Home on the Range,0,0,0,"April 2, 2004",147,0,1,0,0,PG,0,76,0,50030461
0,2734,20000000,0,0,0,The Stepfather (2009),0,1,0,"October 16, 2009",42,0,0,1,0,PG-13,0,101,0,29062561
0,1348,32000000,0,0,0,A History of Violence,0,0,0,"September 23, 2005",140,1,0,0,0,R,0,96,1,31504633
0,457,3300000,0,0,0,Bella,0,1,0,"October 26, 2007",252,0,0,1,0,PG-13,0,91,0,8070537
0,3534,80000000,1,0,0,Grown Ups,0,1,0,"June 25, 2010",126,0,0,0,0,PG-13,0,102,0,162001186
1,3120,34000000,0,0,0,TMNT,0,0,0,"March 23, 2007",91,0,1,0,0,PG,0,90,0,54149098
1,3156,60000000,0,0,0,I Am Number Four,0,1,0,"February 18, 2011",105,0,0,0,0,PG-13,0,104,0,55100437
1,725,5000000,0,0,0,Not Easily Broken,0,1,0,"January 9, 2009",35,0,0,0,0,PG-13,0,99,0,10572742
0,2758,55000000,0,0,0,Seven Pounds,0,1,0,"December 19, 2008",42,0,0,1,0,PG-13,0,118,0,69951824
0,2854,80000000,1,0,1,The Wild,0,0,0,"April 14, 2006",126,0,0,0,0,G,0,94,0,37384046
0,204,2700000,0,0,0,Before Sunset,0,0,0,"July 2, 2004",133,1,0,0,0,R,0,80,1,5820649
0,1098,27000000,0,0,0,Closer,0,0,0,"December 3, 2004",77,1,0,1,0,R,0,98,0,33987757
0,402,12000000,0,0,0,No Good Deed,0,0,0,"September 12, 2003",7,1,0,0,0,R,0,97,1,181600
0,3984,150000000,0,0,0,Bee Movie,0,0,0,"November 2, 2007",105,0,1,1,0,PG,0,90,0,126631277
0,21,20000000,0,0,0,The Tempest,0,1,0,"December 10, 2010",77,0,0,1,0,PG-13,0,110,0,277943
0,3065,30000000,1,0,0,Kick-Ass,0,0,0,"April 16, 2010",77,1,0,0,0,R,0,117,0,48071303
1,2256,35200000,0,0,0,Head of State,0,1,0,"March 28, 2003",112,0,0,0,0,PG-13,0,95,0,38125247
1,2359,16000000,0,0,0,The Unborn (2009),0,1,0,"January 9, 2009",56,0,0,0,0,PG-13,0,88,0,42670410
0,2510,30000000,1,0,0,Drag Me to Hell,0,1,0,"May 29, 2009",70,0,0,0,0,PG-13,0,99,0,42100625
1,2544,7000000,0,0,0,Devil's Due,0,0,0,"January 17, 2014",63,1,0,0,0,R,0,89,0,15821461
0,3555,160000000,1,0,0,Poseidon,0,1,0,"May 12, 2006",91,0,0,0,0,PG-13,0,99,0,60674817
0,3152,60000000,0,0,0,Righteous Kill,0,0,0,"September 12, 2008",105,1,0,0,0,R,0,101,1,40081410
0,3018,15000000,1,0,0,Hoot,0,0,0,"May 5, 2006",35,0,1,0,0,PG,0,90,0,8117637
0,26,2300000,0,0,0,Redemption Road,0,1,0,"August 26, 2011",14,0,0,0,0,PG-13,0,90,1,29384
0,3972,190000000,1,0,0,Tomorrowland,0,0,0,"May 22, 2015",119,0,1,0,0,PG,0,130,0,93436322
0,2955,85000000,0,0,0,It's Complicated,0,0,0,"December 25, 2009",98,1,0,1,0,R,0,118,0,112735375
0,2775,1000000,1,0,0,Unfriended,0,0,0,"April 17, 2015",42,1,0,0,0,R,0,83,0,32482090
0,2548,20000000,0,0,0,You Again,0,0,0,"September 24, 2010",84,0,1,0,0,PG,0,105,1,25702053
0,2206,14000000,0,0,0,My Boss's Daughter,0,1,0,"August 22, 2003",84,0,0,0,0,PG-13,0,86,1,15550605
0,3358,70000000,0,0,0,Inglourious Basterds,0,0,0,"August 21, 2009",119,1,0,0,0,R,0,152,1,120540719
0,2882,35000000,1,0,0,The Devil Wears Prada,0,1,0,"June 30, 2006",168,0,0,0,0,PG-13,0,106,0,124740460
1,2847,50200000,0,0,0,The Adjustment Bureau,0,1,0,"March 4, 2011",84,0,0,0,0,PG-13,0,99,0,62495645
1,2966,84000000,0,0,0,Son of the Mask,0,0,0,"February 18, 2005",70,0,1,0,0,PG,0,86,0,17018422
0,2654,45000000,0,0,0,Bangkok Dangerous,0,0,0,"September 5, 2008",49,1,0,0,0,R,0,100,1,15298133
0,882,4000000,0,1,0,Lost in Translation,1,0,0,"September 12, 2003",196,1,0,0,0,R,0,102,1,44585453
1,3052,42000000,0,0,0,Along Came Polly,0,1,0,"January 16, 2004",140,0,0,0,0,PG-13,0,90,0,88097164
0,2530,110000000,0,1,0,The Aviator,1,1,0,"December 17, 2004",168,0,0,1,0,PG-13,0,168,0,102610330
0,3134,26000000,0,0,0,Red Eye,0,1,0,"August 19, 2005",56,0,0,0,0,PG-13,0,85,1,57891803
0,2141,21000000,0,0,0,Everybody's Fine,0,1,0,"December 4, 2009",21,0,0,1,0,PG-13,0,95,0,9208876
0,3091,30000000,0,0,0,The Family (2013),0,0,0,"September 13, 2013",119,1,0,0,0,R,0,112,1,36918811
0,272,3000000,1,0,0,Please Give,0,0,0,"April 30, 2010",175,1,0,0,0,R,0,90,0,4033574
0,5,850000,0,0,0,Keane,0,0,0,"September 9, 2005",28,1,0,0,0,R,0,100,1,33256
0,2574,20000000,0,0,0,Lakeview Terrace,0,1,0,"September 19, 2008",49,0,0,0,0,PG-13,0,110,1,39263506
0,1273,20000000,0,0,0,How High,0,0,0,"December 21, 2001",70,1,0,1,0,R,0,93,0,31178740
0,1103,1700000,0,1,0,In the Bedroom,1,0,0,"November 23, 2001",175,1,0,1,0,R,0,130,0,35930604
